JWL0166		ND	ND	ND	ND	0.23	0.05	0.10	ND	ND	0.19	0.84	0.17	0.32	0.19	0.24	2.05	ND	0.07	0.38	0.41	0.10	0.39	ND	4.72	31.01	ND	5.85	ND	0.70	1.41	3.95	ND	2.45	0.86	0.09	ND	0.05	0.30	0.38	ND	ND	6.59	ND	34.29	ND	4.03	79.64	0.33	1.47	0.78	ND	0.12	0.02	0.10	0.81	0.05	0.54	0.15	ND	4.02	16.53	0.57	0.24	0.81	ND	ND	0.14	0.03	ND	0.29	1.08	0.79	2.65	1.92	8.15	3.50	0.37	49.59	35.29	2.06	0.32	0.20	ND	ND	ND	1.85	ND	1.94	2.72	ND	ND	ND	1.29	0.38	1.02	4.66	ND	ND	0.09	0.20	1.23	1.33	0.13	ND	6.99	ND	3.77	18.31	2.92	0.43	ND	ND	1.52	ND	0.15	0.11	0.34	ND	0.25	ND	ND	ND	45.75	ND	0.82	ND	8.49	ND	3.40	11.33	0.17	ND	ND	2.35	ND	8.32
JWL0167		ND	ND	ND	ND	ND	ND	ND	ND	ND	1.46	0.70	ND	ND	0.35	0.19	1.87	ND	ND	3.32	0.42	ND	0.28	ND	5.06	195.28	ND	21.46	0.22	2.24	1.29	9.70	ND	15.62	2.60	ND	ND	ND	ND	0.39	ND	ND	11.74	2.02	32.66	4.40	ND	97.16	2.65	0.81	5.21	ND	0.58	ND	ND	1.40	0.43	1.14	0.55	ND	5.88	31.42	ND	0.92	1.26	ND	ND	ND	ND	ND	0.63	1.29	0.66	8.65	3.59	8.95	ND	ND	78.05	25.83	12.43	0.33	ND	ND	ND	ND	ND	ND	2.69	5.66	0.33	ND	ND	1.36	ND	ND	ND	ND	ND	ND	0.32	1.05	1.47	0.53	ND	4.54	1.35	4.93	9.47	10.31	0.76	ND	ND	2.27	ND	0.44	ND	0.56	ND	0.37	0.48	ND	ND	ND	ND	0.45	ND	1.61	0.85	2.89	9.07	ND	ND	ND	5.87	0.75	13.04
JWL0168		ND	ND	0.18	ND	0.81	ND	2.60	0.11	ND	0.87	ND	2.01	ND	0.22	ND	1.44	0.94	ND	0.19	ND	ND	0.39	ND	1.90	7.16	0.38	0.84	ND	0.31	ND	0.70	ND	0.47	0.05	0.06	ND	ND	ND	0.52	ND	ND	2.05	3.06	4.12	1.02	7.12	23.74	ND	0.59	0.14	ND	0.07	0.13	0.03	ND	ND	0.12	0.06	0.29	0.37	3.45	0.23	ND	ND	ND	ND	0.22	0.08	ND	ND	2.59	ND	0.64	0.15	7.00	ND	ND	14.68	47.29	0.26	ND	0.07	ND	ND	ND	0.08	ND	0.43	0.77	0.06	ND	ND	2.82	ND	0.44	0.98	ND	ND	ND	ND	3.81	ND	ND	0.44	7.55	1.30	ND	22.50	1.87	0.45	0.15	0.02	0.50	0.12	ND	ND	0.47	ND	0.05	ND	ND	2.75	10.67	ND	0.23	0.26	0.71	1.23	ND	21.72	ND	0.06	0.37	1.18	0.97	ND
JWL0169		ND	ND	ND	ND	ND	ND	ND	ND	0.17	0.11	ND	ND	ND	ND	ND	ND	0.46	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.06	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0170		ND	ND	0.21	ND	1.70	0.43	1.34	0.57	0.58	0.18	3.39	27.70	ND	0.62	ND	2.55	ND	0.38	0.73	1.33	0.02	72.71	4.16	5.44	21.26	1.13	1.65	ND	0.84	0.68	2.46	0.38	0.81	0.16	ND	ND	ND	ND	13.66	0.44	0.49	5.70	10.97	13.82	ND	22.71	31.17	0.28	1.38	0.16	ND	ND	0.34	ND	0.25	0.02	0.07	0.04	0.46	1.36	4.97	0.60	ND	ND	ND	ND	2.50	ND	0.60	ND	4.19	ND	0.64	0.08	11.66	0.42	1.97	18.39	50.33	0.64	0.09	0.14	ND	ND	0.04	1.39	ND	0.35	0.19	0.27	0.18	ND	1.68	ND	0.27	0.66	0.26	0.54	ND	ND	2.97	ND	ND	ND	12.08	ND	ND	10.31	0.59	0.14	0.15	ND	1.03	ND	ND	ND	0.11	ND	ND	ND	0.13	2.91	5.94	ND	0.38	ND	2.59	0.49	ND	8.78	ND	0.04	0.58	1.57	0.20	0.84
JWL0171		ND	0.05	ND	ND	0.06	0.03	ND	ND	0.06	0.25	0.14	0.06	ND	ND	ND	ND	ND	ND	ND	0.01	0.07	0.29	ND	0.25	0.70	ND	0.11	ND	ND	ND	ND	ND	0.11	ND	ND	ND	ND	ND	0.53	ND	ND	0.24	0.51	0.42	0.15	0.82	2.61	ND	0.11	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.08	0.32	ND	ND	ND	ND	ND	0.05	0.19	ND	ND	0.26	0.04	0.14	ND	0.38	ND	0.19	2.14	3.19	0.07	ND	ND	ND	ND	ND	0.90	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.09	0.05	0.01	ND	ND	ND	ND	ND	ND	0.02	0.13	ND	0.77	0.17	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.49	0.46	ND	ND	ND	ND	ND	ND	0.29	ND	ND	ND	ND	0.61	0.25
JWL0172		ND	0.06	0.02	ND	0.37	0.06	0.36	0.06	ND	0.05	0.21	1.17	0.06	0.10	0.04	0.51	0.03	0.19	0.25	0.29	0.05	1.11	0.40	1.36	10.15	0.39	0.80	ND	0.27	0.50	2.10	0.13	1.24	0.32	0.02	ND	0.06	0.01	2.47	0.14	0.05	2.98	3.43	7.70	ND	16.36	25.31	0.22	1.15	0.17	0.02	ND	ND	ND	0.06	0.01	0.12	0.04	0.21	1.23	4.84	0.60	0.09	0.15	ND	ND	0.20	0.31	0.07	0.07	2.02	0.24	0.46	0.24	4.06	ND	ND	12.15	44.21	1.47	0.24	0.19	ND	ND	0.08	ND	0.04	0.36	0.46	0.14	ND	ND	1.44	0.07	ND	3.74	ND	ND	ND	ND	0.84	0.04	0.01	0.45	2.17	0.87	0.36	8.35	1.54	0.52	0.20	0.02	1.00	0.08	0.02	0.14	0.70	ND	0.08	ND	ND	ND	ND	ND	0.17	0.12	0.56	0.29	0.10	5.64	ND	ND	ND	1.50	ND	ND
JWL0173		ND	0.20	0.02	ND	0.40	0.12	ND	ND	0.02	0.15	0.32	0.32	0.08	0.07	0.04	0.30	ND	0.17	0.11	0.08	0.46	0.38	0.16	1.46	6.87	0.16	0.76	ND	0.13	0.19	0.43	ND	0.41	ND	ND	ND	0.09	0.03	0.85	0.07	0.03	1.57	1.62	5.01	1.23	3.59	29.71	0.11	0.75	0.19	ND	ND	ND	ND	0.08	0.01	0.06	0.06	ND	1.01	3.24	0.25	ND	0.12	ND	ND	0.08	0.46	ND	ND	1.35	0.26	1.13	ND	2.41	ND	ND	19.06	35.97	1.41	0.17	0.07	ND	ND	ND	ND	0.04	0.43	0.35	0.09	0.14	0.21	1.16	ND	0.12	0.78	ND	ND	ND	ND	ND	ND	ND	0.34	0.21	0.75	0.40	8.04	0.95	0.22	0.14	0.02	0.77	ND	ND	ND	ND	ND	ND	ND	ND	ND	2.07	ND	ND	ND	0.07	0.02	ND	1.09	ND	0.11	0.81	1.20	0.92	1.32
JWL0174		ND	ND	ND	ND	0.17	0.02	ND	ND	ND	ND	0.81	0.53	0.13	0.09	0.01	0.24	ND	ND	0.12	0.08	ND	4.16	0.30	3.80	15.88	ND	0.58	ND	1.14	0.07	1.35	ND	0.22	0.04	ND	ND	ND	ND	0.44	0.09	0.21	6.79	6.72	9.59	ND	8.39	23.90	0.03	0.31	ND	0.06	0.07	0.14	0.08	0.14	0.11	ND	ND	ND	0.29	6.31	ND	ND	ND	ND	ND	0.18	0.05	0.06	0.06	2.48	0.27	0.52	0.15	2.53	0.56	ND	26.08	35.26	0.18	ND	0.16	ND	ND	ND	ND	ND	0.05	0.55	ND	ND	ND	1.37	ND	ND	0.82	ND	ND	ND	ND	1.27	ND	ND	0.26	2.98	0.07	0.15	10.20	1.41	0.14	0.14	ND	0.80	ND	ND	ND	0.59	ND	ND	ND	14.86	1.48	2.31	ND	0.09	0.07	0.09	0.09	0.09	3.86	0.06	ND	0.14	0.81	ND	ND
JWL0175		0.05	ND	ND	ND	ND	ND	ND	ND	0.02	0.01	0.48	0.20	ND	0.06	ND	0.16	ND	ND	0.06	0.07	0.11	0.82	0.10	1.62	4.51	0.20	0.24	0.02	0.32	ND	0.62	0.09	0.07	ND	ND	ND	0.02	0.07	1.34	0.05	0.07	4.03	3.50	6.43	ND	9.88	11.27	0.09	0.27	ND	ND	0.07	0.09	0.01	ND	ND	0.11	ND	0.14	ND	3.25	ND	ND	ND	ND	ND	0.38	0.52	0.16	ND	2.28	ND	0.19	0.05	4.55	ND	ND	15.14	23.25	0.22	ND	0.32	ND	0.03	0.06	ND	ND	ND	0.35	0.08	0.04	0.76	1.95	ND	ND	0.85	0.27	ND	0.08	ND	2.34	ND	ND	0.19	3.37	ND	ND	16.12	2.38	0.33	0.17	ND	0.73	ND	ND	ND	0.35	ND	0.09	0.10	ND	ND	3.48	0.13	0.06	0.16	0.07	0.25	ND	8.17	ND	ND	0.57	0.79	ND	ND
