JWL0166		ND	ND	0.01	0.08	0.03	ND	ND	0.04	0.05	0.02	0.01	0.05	0.06	ND	ND	0.08	0.10	0.06	0.07	ND	0.03	ND	0.10	0.08	ND	ND	ND	0.37	ND	0.11	0.17	ND	ND	ND	ND	0.06	0.09	ND	0.02	0.03	ND	ND	ND	ND	0.09	ND	0.03	ND	3.65	ND	ND	ND	ND	ND	0.12	0.10	ND	0.04	ND	0.02	0.05	ND	0.24	0.36	ND	ND	0.08	ND	0.05	14.47	ND	ND	ND	ND	ND	3.71	ND	2.22	ND	ND	0.11	ND	ND	ND	0.15	0.06	ND	ND	ND	2.41	ND	ND	0.19	ND	0.49	0.31	0.26	ND	ND	0.12	ND	17.52	ND	ND	33.54	ND	ND	ND	1.11	2.43	ND	ND	ND	ND	5.22	0.75	4.08	5.12	ND	ND	1.07	ND	ND	ND	ND	1.10	ND	ND	ND	ND	ND	ND	ND	13.07	ND	ND	ND	31.72	10.55	ND	11.30	3.06	0.57	ND	ND	ND	ND	ND	20.29	ND	ND	1.91	0.60	ND	0.90	0.66	5.80	2.30	1.83	ND	ND	1.58	1.37	1.35	ND	ND	0.85	0.33	0.76	ND	ND	2.05	4.24	3.81	1.91	22.93	25.65	ND	ND	10.37	19.28	ND	4.84	ND	ND	ND	24.93	ND	ND	ND	20.44	13.71	ND	ND	ND	ND	0.45	0.34	4.96	2.24	1.44	1.40	0.89	1.08	1.49	ND	0.84	0.84	0.86	ND	ND	ND	ND	ND	ND	ND	3.66	4.27	1.12	1.08	ND	ND	1.64	40.32	0.14	13.20	5.28	6.74	3.74	ND	3.78	4.78	14.99	ND	4.09	ND	0.13	2.85	23.90	13.25	7.48	ND	0.39	40.25	ND	ND	ND	ND	0.04	0.06	ND	ND	ND	ND	2.58	0.85	1.84	0.84	ND	0.82	0.36	0.73	ND	ND	ND	ND	ND	5.23	2.31	1.93	5.54	0.35	12.73	2.61	24.96	4.03	5.93	ND	4.21	1.56	ND	1.87	35.59	ND	ND	ND	12.03	ND	57.04	ND	14.45	ND	ND	ND	ND	ND	ND	ND	ND	0.35	0.09	0.09	0.16
JWL0167		0.05	0.17	0.02	0.01	ND	0.01	0.01	0.23	0.06	0.01	0.07	0.01	0.02	0.01	0.01	0.13	0.12	0.13	0.17	0.14	ND	0.03	0.02	0.02	ND	0.02	0.01	0.17	0.04	0.12	0.05	ND	0.09	0.07	ND	0.11	0.04	ND	ND	ND	ND	ND	0.01	0.01	ND	0.00	0.01	0.12	0.09	0.04	0.10	ND	0.06	ND	ND	0.04	0.04	0.02	0.02	0.03	0.01	ND	0.02	0.01	0.01	0.01	ND	ND	ND	0.09	0.08	0.13	0.06	0.07	0.03	0.02	0.05	ND	0.02	0.02	ND	0.01	0.00	0.01	ND	ND	0.00	0.00	ND	0.09	0.06	0.04	0.01	ND	0.01	0.01	0.01	ND	ND	0.00	ND	0.38	0.19	0.18	0.18	ND	ND	0.11	0.01	0.02	0.02	ND	ND	ND	ND	ND	0.79	0.13	ND	0.04	0.04	ND	ND	ND	ND	0.04	0.01	ND	0.02	0.01	ND	ND	ND	0.93	0.20	0.23	0.08	0.35	0.15	ND	0.27	0.07	0.07	0.01	0.06	ND	ND	ND	0.06	ND	ND	ND	ND	ND	0.75	0.35	0.26	0.08	0.09	0.07	ND	0.06	0.09	0.11	0.03	ND	0.07	ND	0.04	ND	0.02	0.04	0.05	1.10	0.39	0.80	0.59	ND	ND	0.70	0.81	0.23	0.11	0.06	ND	0.14	0.21	ND	ND	ND	0.15	ND	ND	0.01	ND	ND	0.44	0.22	0.33	0.11	0.14	0.11	0.39	0.46	ND	ND	ND	0.25	0.13	0.11	0.07	ND	0.04	ND	ND	ND	0.12	0.20	ND	ND	ND	0.02	1.01	2.49	ND	1.91	0.43	0.46	0.58	0.20	0.48	0.29	0.28	0.10	ND	ND	0.13	ND	1.00	ND	ND	ND	0.27	0.30	ND	ND	ND	ND	ND	ND	ND	0.13	0.04	0.05	0.34	0.12	0.30	0.24	0.10	0.34	0.18	0.20	0.08	ND	0.04	ND	ND	0.53	0.14	ND	0.52	0.66	1.25	0.27	2.82	0.82	0.89	0.21	0.29	0.24	ND	0.59	2.24	ND	ND	ND	0.52	ND	1.83	ND	0.91	ND	ND	ND	ND	0.04	0.02	0.01	0.01	0.02	0.04	0.03	0.02
JWL0168		ND	ND	ND	ND	0.01	0.00	ND	ND	0.01	ND	0.04	ND	ND	ND	ND	0.04	0.04	ND	ND	0.02	0.04	0.01	ND	0.00	ND	ND	ND	0.05	0.04	0.06	0.04	ND	ND	ND	ND	0.06	ND	ND	ND	ND	ND	0.02	ND	ND	ND	ND	0.00	0.05	0.04	ND	0.02	0.03	0.02	ND	0.01	ND	0.02	ND	0.01	ND	ND	0.02	ND	ND	ND	0.02	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.20	ND	0.18	ND	ND	0.01	ND	0.01	ND	0.02	ND	ND	ND	0.07	ND	ND	ND	0.02	ND	0.06	0.04	0.04	ND	ND	0.01	0.00	0.08	0.06	ND	7.49	ND	ND	ND	0.14	0.70	ND	ND	0.04	0.01	ND	ND	ND	0.94	ND	ND	0.42	ND	ND	ND	ND	0.21	0.08	ND	0.05	ND	ND	0.03	0.01	0.20	ND	ND	ND	8.95	4.22	ND	6.31	ND	ND	0.50	0.25	ND	ND	ND	0.12	ND	ND	ND	ND	ND	0.23	0.09	1.14	0.64	0.56	ND	ND	1.00	0.99	2.11	ND	ND	0.48	ND	0.62	ND	0.20	ND	0.09	ND	ND	6.05	7.81	ND	ND	17.16	14.43	11.70	ND	ND	ND	ND	ND	0.39	ND	ND	0.79	ND	ND	ND	ND	0.08	0.09	0.08	1.85	2.56	0.90	1.03	3.45	3.56	2.34	ND	1.22	ND	3.68	0.90	ND	ND	ND	0.32	0.30	ND	ND	0.48	ND	ND	ND	0.01	0.60	10.88	3.41	31.95	11.20	ND	25.67	ND	ND	0.09	ND	0.59	0.66	0.51	1.53	0.24	2.33	ND	ND	2.88	2.17	0.65	ND	ND	ND	ND	0.05	0.05	ND	0.04	0.01	0.01	2.29	0.53	5.89	1.72	4.53	8.82	ND	ND	0.84	0.36	ND	0.31	0.42	1.88	0.77	0.72	ND	0.55	4.87	ND	30.51	34.74	0.10	2.92	2.34	1.75	ND	ND	2.99	0.07	5.20	3.86	7.02	5.44	ND	ND	2.79	1.11	ND	0.23	ND	0.06	ND	ND	0.01	0.39	0.25	0.14	ND
JWL0169		0.07	ND	ND	ND	ND	ND	ND	ND	0.43	ND	ND	ND	ND	ND	ND	0.21	0.36	ND	0.09	ND	0.11	0.13	ND	ND	ND	ND	ND	0.62	0.25	0.38	0.25	0.14	0.15	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.23	0.48	0.46	ND	0.17	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.28	ND	ND	ND	0.30	ND	ND	ND	0.23	0.18	0.42	0.22	ND	ND	0.97	ND	0.88	0.28	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.71	ND	ND	ND	0.37	ND	0.92	0.54	ND	0.26	0.42	0.24	ND	0.63	0.24	ND	14.48	ND	ND	ND	1.51	3.80	0.86	ND	0.21	0.27	ND	ND	0.96	7.83	ND	2.22	4.69	ND	ND	ND	ND	2.60	3.11	ND	1.93	ND	0.87	0.52	0.14	0.92	ND	ND	ND	17.50	10.92	ND	0.62	ND	0.43	6.58	3.72	ND	ND	ND	3.13	ND	ND	ND	ND	ND	0.85	0.54	28.94	14.31	10.30	ND	ND	ND	19.95	12.15	6.92	ND	7.37	ND	14.37	ND	4.03	ND	1.38	ND	ND	36.79	51.85	ND	ND	54.34	112.57	161.34	ND	ND	ND	ND	13.69	5.66	4.05	ND	17.55	ND	ND	ND	ND	ND	ND	ND	43.17	20.84	14.64	10.55	73.23	37.01	33.61	ND	16.06	ND	54.97	29.46	ND	ND	ND	10.53	8.66	7.75	ND	11.34	4.47	ND	ND	ND	ND	75.34	25.78	301.53	79.56	ND	512.68	ND	ND	ND	13.32	15.52	ND	29.05	21.08	ND	71.54	ND	ND	ND	29.32	18.74	ND	ND	6.93	ND	1.44	2.07	0.10	ND	ND	ND	53.44	ND	95.60	86.24	75.90	168.89	ND	ND	12.77	8.66	11.47	9.90	14.69	46.14	21.41	13.35	6.83	2.42	82.35	ND	348.50	532.28	ND	68.15	32.73	15.93	ND	ND	104.06	ND	40.03	ND	121.07	92.53	ND	1.13	53.03	31.09	ND	4.71	4.63	ND	ND	ND	ND	11.21	7.41	3.45	2.55
JWL0170		0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.06	0.03	ND	0.02	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.04	ND	ND	0.03	ND	ND	0.02	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.02	0.03	ND	ND	0.01	0.04	0.03	ND	ND	ND	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	ND	ND	0.06	0.08	0.03	ND	0.03	ND	0.04	0.03	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.03	0.08	0.05	0.03	0.02	0.06	0.01	ND	0.01	0.02	0.01	ND	0.17	0.06	ND	0.36	ND	0.15	0.10	0.08	0.12	0.04	ND	ND	0.00	ND	ND	ND	0.40	0.13	0.30	0.17	ND	ND	ND	0.04	0.09	0.12	ND	0.05	ND	0.01	0.02	0.00	0.30	ND	0.12	ND	1.48	0.77	ND	1.79	ND	0.38	0.32	0.11	ND	ND	ND	0.07	ND	ND	ND	ND	ND	0.25	0.07	3.08	0.76	0.72	0.79	ND	ND	0.59	0.75	0.33	ND	0.26	ND	0.63	ND	0.37	ND	ND	0.34	ND	3.70	12.39	ND	ND	5.25	8.83	4.95	ND	1.26	ND	ND	0.13	0.35	0.15	ND	0.39	ND	ND	ND	ND	ND	0.05	0.03	5.94	2.74	1.57	ND	4.86	7.02	3.30	0.07	ND	ND	3.48	1.27	ND	ND	0.75	0.63	0.59	ND	ND	0.12	0.38	0.10	ND	0.01	0.37	29.68	ND	32.81	9.70	ND	20.88	ND	ND	ND	0.75	1.15	0.63	1.60	ND	ND	0.91	1.03	0.28	ND	0.43	ND	ND	ND	0.63	ND	ND	ND	ND	ND	ND	ND	4.95	ND	14.76	6.49	3.51	17.59	ND	ND	1.64	1.13	ND	ND	0.48	2.55	0.77	0.29	ND	0.45	13.86	8.17	53.11	31.07	ND	4.66	2.48	2.28	ND	ND	4.06	3.14	1.66	1.37	6.92	0.13	ND	0.05	1.19	1.00	ND	ND	ND	ND	ND	ND	ND	1.58	0.58	0.87	ND
JWL0171		ND	0.84	0.10	0.03	0.04	0.05	0.05	1.32	0.37	0.49	0.10	0.11	0.14	0.01	0.12	0.62	0.56	0.60	0.78	0.98	ND	0.32	ND	0.17	ND	0.08	0.07	1.14	0.47	0.25	0.47	0.45	0.28	0.36	ND	0.73	0.20	0.01	ND	ND	0.03	ND	0.05	0.04	ND	0.02	ND	0.51	0.39	0.45	0.42	0.37	0.13	0.33	ND	0.42	0.20	0.14	0.00	0.15	ND	ND	0.04	0.03	0.01	ND	0.00	ND	ND	0.37	0.38	0.45	0.32	0.30	0.15	ND	0.31	ND	0.15	0.13	ND	0.13	ND	ND	ND	ND	0.06	0.03	ND	0.19	0.17	0.10	0.03	ND	0.03	0.02	ND	ND	ND	0.01	ND	0.59	0.74	0.01	0.17	0.28	0.13	0.21	0.03	0.06	0.13	ND	ND	ND	ND	ND	1.42	0.31	0.07	0.13	ND	ND	ND	0.11	ND	0.08	0.04	ND	0.07	ND	0.02	ND	ND	0.91	0.27	0.32	0.56	0.96	0.34	0.08	0.27	0.05	0.12	0.09	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.95	0.44	0.93	0.18	0.22	ND	ND	ND	0.26	0.11	0.07	ND	0.11	ND	0.12	ND	ND	ND	ND	1.08	0.63	1.36	1.71	ND	ND	1.07	2.55	1.56	0.03	0.06	ND	0.03	0.02	0.04	0.02	ND	0.01	0.01	ND	0.07	ND	ND	0.63	0.40	1.34	0.73	0.28	ND	0.88	0.49	0.24	ND	0.23	0.21	0.39	0.18	ND	ND	ND	0.03	0.02	0.03	ND	ND	ND	ND	ND	ND	2.52	5.17	0.02	8.15	ND	ND	8.27	ND	ND	ND	0.12	0.13	ND	0.19	ND	0.09	0.16	0.06	ND	ND	0.04	ND	ND	ND	0.01	ND	ND	ND	ND	0.38	0.08	ND	1.11	0.31	1.79	1.35	0.93	1.71	ND	ND	0.09	0.08	ND	0.05	ND	0.16	ND	ND	ND	2.62	4.43	ND	16.84	13.20	0.11	0.76	0.31	ND	ND	1.03	0.74	0.25	ND	ND	0.38	0.13	0.25	ND	0.08	0.07	ND	ND	ND	0.25	0.09	0.09	ND	0.18	0.22	ND	0.07
JWL0172		0.03	ND	0.02	0.01	0.01	0.01	0.01	ND	0.11	ND	0.26	ND	ND	ND	0.06	0.40	0.17	ND	0.31	ND	ND	ND	0.04	ND	0.03	ND	ND	0.06	0.27	0.13	ND	0.21	0.26	ND	0.06	0.37	ND	ND	ND	ND	ND	0.10	ND	ND	ND	ND	ND	0.19	0.20	0.14	0.09	0.08	0.10	ND	ND	ND	ND	0.08	0.21	0.08	0.02	0.11	ND	ND	ND	0.06	ND	ND	ND	ND	0.10	0.17	0.07	0.10	ND	0.30	0.13	0.13	0.09	ND	ND	0.06	0.04	ND	0.07	0.06	ND	ND	0.32	ND	ND	ND	0.11	ND	0.32	0.08	ND	ND	0.21	0.03	ND	0.38	0.17	ND	4.79	ND	ND	ND	0.55	0.94	0.18	ND	0.10	0.04	ND	ND	0.71	1.89	ND	0.79	0.80	0.45	ND	ND	ND	0.66	1.08	ND	0.46	ND	0.33	0.11	0.02	0.81	ND	ND	ND	5.28	3.59	ND	14.61	ND	ND	2.42	0.90	ND	ND	ND	0.50	ND	ND	ND	ND	ND	0.62	0.24	8.80	3.00	3.33	2.00	ND	ND	4.58	3.36	1.75	ND	2.44	ND	4.98	ND	ND	ND	0.60	0.44	0.13	21.19	16.72	ND	ND	29.02	52.02	60.89	ND	ND	ND	ND	1.65	3.87	1.17	ND	1.51	2.69	ND	ND	ND	ND	0.29	0.19	16.40	6.84	3.54	3.77	25.08	20.55	11.66	ND	ND	ND	20.45	7.39	ND	ND	ND	3.17	2.87	2.46	ND	0.76	2.10	0.96	ND	0.10	0.85	37.82	13.03	141.71	45.23	ND	197.14	ND	ND	ND	ND	8.42	4.58	8.50	1.99	ND	11.23	5.51	2.53	ND	5.18	1.39	ND	ND	6.17	ND	ND	0.65	0.01	0.12	0.05	0.05	14.26	4.15	53.16	27.99	22.05	64.20	ND	ND	5.55	3.78	ND	3.08	ND	12.01	6.60	3.50	ND	1.05	36.64	ND	181.26	236.72	ND	28.12	8.50	4.23	ND	ND	20.84	5.65	15.00	ND	40.95	18.44	ND	ND	8.57	13.40	ND	1.03	1.05	0.16	ND	0.06	ND	4.87	2.91	1.44	ND
JWL0173		ND	ND	ND	ND	ND	ND	ND	0.00	ND	ND	0.00	0.01	ND	0.01	ND	ND	ND	0.03	0.04	0.01	ND	ND	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.00	ND	ND	ND	ND	ND	0.02	0.01	ND	0.03	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.02	ND	ND	ND	0.02	ND	ND	0.01	ND	ND	ND	ND	ND	ND	0.08	ND	0.04	0.03	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.05	ND	ND	ND	ND	ND	ND	ND	0.03	ND	ND	0.01	0.01	ND	ND	ND	5.36	ND	ND	ND	ND	0.25	ND	ND	ND	ND	ND	ND	ND	0.77	ND	0.17	0.21	ND	ND	ND	ND	0.26	ND	ND	ND	0.10	ND	ND	ND	0.20	ND	ND	ND	14.83	ND	ND	4.06	ND	ND	ND	1.85	ND	ND	ND	7.32	ND	ND	ND	ND	ND	0.10	0.04	3.66	ND	1.47	ND	ND	ND	0.43	0.60	ND	ND	0.44	ND	0.24	ND	0.09	0.07	0.75	0.16	0.06	9.71	27.76	ND	ND	5.23	16.05	ND	11.42	ND	ND	ND	4.13	1.38	ND	ND	2.18	9.35	ND	ND	ND	ND	0.04	0.03	5.09	1.95	4.19	ND	1.71	4.17	1.26	ND	ND	ND	1.09	0.39	ND	ND	0.29	ND	0.32	ND	1.00	1.33	0.32	0.38	ND	ND	0.19	40.84	0.08	38.15	ND	0.10	4.87	3.30	5.50	1.56	15.77	ND	ND	ND	0.12	ND	35.77	ND	ND	ND	15.70	ND	ND	ND	ND	ND	3.17	0.06	ND	ND	ND	ND	5.47	ND	9.84	2.45	ND	3.03	0.67	1.13	ND	ND	ND	ND	ND	4.99	1.28	1.49	ND	0.18	24.40	ND	41.00	10.71	7.76	ND	3.19	9.19	ND	ND	54.63	ND	ND	ND	31.86	14.74	0.08	0.08	ND	14.27	ND	ND	3.26	ND	ND	ND	ND	0.59	0.84	0.31	ND
JWL0174		ND	ND	ND	ND	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	ND	ND	ND	0.48	0.22	0.13	ND	ND	0.81	ND	0.29	ND	ND	1.22	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.27	0.03	2.28	ND	ND	ND	0.10	ND	0.02	3.19	1.25	ND	ND	ND	ND	ND	3.57	ND	ND	ND	ND	ND	ND	0.29	ND	ND	ND	ND	0.58	0.16	ND	2.11	0.85	ND	ND	ND	7.57	5.52	2.86	ND	2.68	ND	0.37	ND	0.43	0.13	0.42	0.25	ND	ND	0.41	ND	ND	ND	0.19	0.66	0.64	0.21	ND	0.16	0.22	0.17	0.03	1.43	0.41	ND	4.94	6.49	6.93	4.80	7.88	4.48	2.62	ND	0.97	ND	0.28	0.15	ND	0.70	1.39	1.49	1.25	2.14	ND	ND	0.96	1.11	1.05	ND	0.35	ND	0.59	0.44	0.12	0.99	0.44	ND	15.32	8.49	34.22	14.05	6.89	ND	3.34	2.97	2.43	ND	1.20	1.92	1.22	1.03	0.71	0.75	1.00	0.40	0.60	0.36	5.22	6.97	3.15	10.40	ND	ND	4.70	3.18	5.83	2.12	2.56	2.16	5.58	2.47	2.50	ND	ND	1.23	0.91	68.37	14.16	ND	37.86	78.45	37.74	23.48	3.32	19.55	ND	ND	3.26	4.48	4.54	1.66	2.18	6.07	ND	ND	1.22	ND	0.43	0.23	39.62	ND	ND	9.07	31.84	21.43	14.13	19.97	ND	ND	17.30	17.65	6.12	5.48	3.82	6.32	4.83	4.39	ND	ND	6.75	ND	0.90	ND	2.38	100.34	ND	175.54	148.30	ND	130.26	24.38	ND	ND	ND	22.76	13.72	ND	ND	7.80	12.73	17.59	10.58	ND	15.85	ND	9.73	ND	ND	7.60	ND	ND	ND	0.27	0.09	0.13	52.85	ND	94.77	75.44	36.75	82.21	42.53	29.48	13.00	14.80	9.38	8.58	ND	3.38	ND	ND	0.37	3.28	111.74	ND	442.74	382.94	ND	18.66	32.62	5.87	26.59	ND	21.93	54.22	12.53	20.76	74.78	43.19	ND	ND	14.54	30.55	15.81	11.14	ND	0.14	ND	0.10	0.04	10.03	9.40	ND	ND
JWL0175		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.03	ND	ND	0.03	0.07	ND	0.81	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.16	ND	0.05	ND	ND	ND	0.27	ND	2.56	ND	ND	ND	ND	ND	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.04	ND	ND	ND	0.01	ND	ND	0.05	ND	ND	ND	ND	ND	0.02	0.05	ND	0.08	0.06	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.19	ND	ND	ND	ND	ND	ND	ND	0.10	ND	ND	0.01	ND	0.39	0.19	ND	1.77	ND	ND	0.62	0.17	0.47	ND	ND	ND	0.04	ND	ND	ND	0.45	ND	0.31	0.49	0.86	0.25	ND	ND	0.45	ND	ND	ND	0.27	ND	0.06	ND	1.17	ND	ND	ND	4.83	7.54	1.11	4.39	0.95	1.09	0.60	0.44	ND	ND	0.15	0.76	ND	ND	ND	ND	ND	0.49	0.32	2.14	4.61	2.86	3.47	ND	ND	1.38	3.93	1.47	ND	1.18	0.81	0.94	0.35	0.61	0.55	ND	1.10	ND	55.56	ND	ND	ND	34.68	16.61	6.40	4.03	2.58	ND	5.24	2.27	2.10	1.68	ND	1.58	1.82	ND	0.11	0.25	0.08	0.92	ND	38.00	ND	11.61	8.58	17.28	13.08	19.62	5.65	ND	ND	9.25	7.13	5.44	ND	ND	1.84	1.59	0.88	ND	1.67	0.58	1.39	ND	0.12	2.01	138.82	ND	168.21	101.13	ND	80.98	26.44	ND	ND	6.75	10.37	4.96	6.99	2.33	3.47	37.62	ND	ND	ND	9.68	2.30	ND	ND	2.14	ND	0.92	ND	0.02	ND	ND	ND	86.47	ND	123.02	68.03	ND	74.87	24.81	26.51	8.82	11.40	6.07	ND	ND	10.98	4.93	4.17	ND	1.40	125.67	ND	406.42	222.98	81.67	17.66	30.09	8.70	23.64	ND	79.97	17.95	ND	18.85	80.25	35.34	ND	ND	25.39	12.94	ND	1.97	1.81	ND	ND	ND	ND	9.90	13.85	2.88	ND
JWL0176		ND	ND	ND	ND	ND	ND	ND	ND	0.04	ND	ND	ND	ND	ND	ND	ND	ND	1.69	ND	ND	0.81	ND	1.50	ND	0.69	ND	ND	2.04	ND	ND	ND	ND	ND	ND	ND	0.09	ND	0.15	0.39	0.11	4.27	ND	ND	ND	ND	ND	ND	7.52	ND	ND	ND	ND	ND	ND	17.53	ND	ND	ND	ND	ND	0.25	ND	0.20	ND	0.25	ND	0.91	0.75	ND	ND	2.02	ND	1.19	ND	43.27	0.15	ND	ND	ND	ND	0.60	0.39	0.54	0.46	ND	ND	ND	ND	ND	ND	0.79	ND	3.48	1.74	ND	ND	ND	1.50	ND	ND	0.03	ND	1.81	ND	ND	17.89	18.14	ND	26.72	ND	ND	1.01	ND	ND	0.36	0.66	ND	ND	10.01	2.27	ND	ND	ND	ND	3.38	0.69	1.07	2.69	ND	ND	1.01	ND	ND	0.33	1.43	ND	67.66	ND	ND	109.87	ND	ND	ND	0.73	0.85	3.06	1.63	0.90	ND	1.45	2.18	0.63	1.28	1.45	ND	ND	3.84	2.48	1.60	4.41	4.14	ND	2.70	ND	2.47	6.73	ND	1.32	1.31	ND	ND	ND	ND	0.42	0.33	21.29	ND	27.40	125.47	36.68	ND	8.38	2.63	4.18	6.01	ND	ND	1.00	1.57	2.03	ND	2.60	8.90	ND	3.56	2.17	ND	ND	23.86	ND	ND	ND	19.04	6.73	4.28	9.13	ND	ND	3.34	9.24	2.10	1.96	ND	1.36	0.88	0.70	0.35	ND	1.33	ND	1.33	ND	0.65	53.94	ND	98.03	46.61	ND	59.17	5.89	ND	ND	ND	7.74	4.52	ND	5.50	ND	3.42	ND	ND	2.94	5.34	ND	14.32	9.90	ND	15.07	ND	ND	0.01	ND	ND	ND	15.31	3.81	21.79	24.71	10.84	26.83	13.76	6.21	2.07	2.52	3.26	3.31	4.07	0.69	3.52	2.04	2.48	0.56	62.48	ND	197.74	183.65	ND	3.61	5.68	3.38	10.25	ND	10.12	15.94	0.11	6.28	15.46	6.70	13.97	10.97	ND	9.36	40.93	1.71	0.83	0.04	ND	0.02	0.01	1.85	1.73	0.41	ND
JWL0177		ND	ND	0.02	ND	0.01	ND	ND	ND	0.04	ND	0.05	ND	ND	ND	ND	0.09	0.14	0.20	ND	ND	0.40	0.02	ND	ND	ND	ND	ND	0.32	ND	0.12	ND	ND	0.12	ND	ND	0.12	ND	0.11	0.03	0.05	ND	ND	ND	ND	0.02	ND	ND	0.75	0.27	ND	ND	0.19	ND	ND	3.27	ND	ND	ND	ND	ND	ND	0.12	ND	ND	ND	ND	0.25	0.18	ND	0.17	0.36	ND	ND	ND	8.68	1.85	1.91	ND	ND	ND	0.17	0.06	0.14	0.06	0.04	ND	ND	0.02	0.15	ND	ND	ND	0.33	0.75	0.21	ND	ND	0.22	0.06	0.04	0.01	0.34	0.19	ND	13.45	5.72	ND	ND	3.66	1.70	0.74	0.16	ND	ND	0.13	0.24	0.41	0.87	1.15	ND	ND	0.62	0.71	ND	0.50	0.20	0.33	0.48	0.19	ND	0.03	0.12	ND	1.02	ND	ND	14.62	5.40	3.89	20.61	4.76	ND	ND	0.81	0.66	0.36	0.29	0.18	0.36	0.33	0.14	0.80	0.21	0.39	0.40	0.10	1.88	0.67	1.19	1.67	2.06	ND	0.93	0.86	1.00	2.00	ND	ND	0.36	ND	ND	ND	0.20	0.99	ND	12.80	6.68	6.41	57.20	21.31	ND	2.74	1.22	1.84	1.99	1.85	ND	0.45	ND	1.54	2.73	0.92	2.83	ND	1.58	0.66	0.27	0.11	6.06	1.31	1.25	1.70	5.51	2.71	2.53	4.95	ND	ND	1.45	2.39	0.89	0.88	ND	0.43	0.41	0.40	ND	1.41	ND	ND	0.62	ND	0.97	21.42	ND	35.96	26.48	ND	26.24	2.04	ND	ND	1.34	1.84	1.49	ND	4.17	ND	7.39	ND	ND	3.33	4.06	2.69	5.20	2.81	ND	3.17	ND	ND	ND	0.09	0.04	0.04	7.62	ND	9.78	12.91	5.68	9.70	5.29	2.46	1.45	1.58	0.96	0.91	ND	3.72	2.23	1.56	0.53	0.74	19.13	ND	81.30	77.86	0.14	7.26	2.99	4.45	2.02	ND	13.20	0.14	0.08	7.65	13.33	7.93	4.41	ND	0.21	5.09	11.24	0.98	1.05	0.04	0.01	0.01	0.01	0.96	0.96	0.34	ND
