JWL0166		0.01	0.02	ND	ND	ND	ND	ND	0.31	ND	0.03	ND	ND	0.01	ND	1.98	ND	ND	0.04	ND	0.10	ND	0.37	2.93	0.18	1.75	ND	0.11	ND	ND	0.04	ND	ND	0.02	0.11	ND	1.89	0.64	0.96	0.24	ND	0.91	ND	2.61	ND	2.90	ND	ND	0.03	0.05	ND	0.10	0.17	0.33	0.70	0.31	ND	0.28	ND	0.10	0.25	3.64	1.43	ND	3.40	ND	ND	ND	ND	0.09	0.02	ND	0.15	0.17	0.14	ND	ND	0.03	0.04	ND	ND	ND	ND	0.54	0.52	1.56	8.95	ND	2.61	ND	0.05	0.74	ND	ND	ND	ND	0.01	0.91	0.17	0.05	ND	ND	ND	ND	0.10	ND	ND	ND	0.23	0.08	4.53	4.35	0.51	0.29	ND	0.74	ND	ND	ND	0.01	0.26	0.11	0.18	ND	ND	ND	ND	ND	0.62	ND	0.76	ND	0.44	2.06	0.25	0.08	ND	ND	ND	ND	ND	ND	0.06	ND	ND	ND	ND	ND	ND	1.21	1.27	ND	ND	ND	ND	ND	ND	0.01	0.01	ND	ND	ND	ND	ND	ND	0.78
JWL0167		ND	0.05	ND	ND	0.07	ND	ND	1.76	ND	ND	ND	ND	ND	ND	ND	0.00	0.01	ND	ND	ND	0.01	0.30	0.04	0.03	ND	ND	ND	0.02	0.02	0.04	ND	ND	ND	0.46	ND	0.30	0.02	0.12	ND	ND	ND	ND	0.03	0.02	ND	ND	0.00	0.02	0.01	ND	1.25	ND	0.12	0.27	0.16	0.09	ND	ND	ND	0.07	0.93	0.05	ND	0.63	ND	ND	ND	ND	0.15	ND	ND	0.12	0.22	0.02	0.01	0.04	ND	ND	ND	ND	0.09	ND	0.61	0.80	0.56	6.74	ND	0.72	0.20	ND	0.03	ND	ND	ND	ND	ND	4.90	0.69	0.20	ND	0.03	ND	ND	ND	ND	1.01	ND	ND	0.30	ND	7.27	0.95	0.25	ND	0.25	ND	ND	ND	ND	1.51	0.81	0.02	ND	ND	ND	ND	ND	ND	ND	ND	0.39	1.54	5.29	0.89	ND	0.02	0.15	1.28	ND	ND	ND	0.20	ND	ND	ND	ND	ND	ND	ND	1.40	0.10	ND	1.76	ND	ND	0.06	ND	ND	ND	ND	ND	ND	ND	0.04	0.45
JWL0168		0.02	0.03	ND	0.01	ND	ND	ND	0.20	ND	ND	ND	0.03	ND	ND	0.19	ND	0.03	0.01	ND	0.01	0.00	0.04	0.39	0.12	0.54	ND	ND	0.02	ND	0.01	0.05	ND	0.13	ND	ND	0.52	1.86	ND	ND	ND	ND	ND	ND	ND	ND	13.11	0.01	ND	0.16	ND	0.15	0.02	0.12	2.05	0.13	ND	0.04	ND	ND	0.05	0.25	0.07	ND	0.13	ND	ND	0.07	ND	ND	ND	0.00	0.03	0.02	0.04	0.04	1.08	0.08	ND	0.02	ND	0.02	0.18	0.04	0.06	ND	2.75	ND	0.37	0.06	ND	ND	0.10	0.06	ND	ND	ND	0.31	0.10	ND	ND	1.16	ND	0.17	ND	ND	ND	0.07	ND	ND	ND	11.77	ND	ND	ND	0.02	ND	ND	0.12	0.03	0.06	0.35	0.30	0.38	0.03	0.02	0.02	0.19	0.06	0.04	0.12	0.08	0.01	4.75	0.33	0.12	0.02	0.04	0.20	0.02	ND	ND	ND	ND	ND	0.14	0.04	ND	0.02	ND	1.31	0.04	ND	0.66	ND	0.01	ND	ND	0.02	0.05	0.01	0.02	ND	0.00	ND	0.25
JWL0169		ND	0.17	ND	0.05	ND	ND	ND	0.25	ND	ND	ND	ND	0.23	ND	5.00	ND	1.35	0.45	0.33	2.73	0.82	1.19	43.56	3.14	41.36	8.88	0.18	0.13	ND	12.34	4.13	3.35	4.89	1.42	ND	90.78	270.64	ND	2.21	2.70	1.71	1.18	1.71	1.12	6.31	ND	ND	ND	33.98	1.55	2.79	ND	33.91	433.96	27.41	ND	3.35	1.03	0.90	5.93	25.24	9.88	3.12	10.06	1.33	4.87	24.72	6.74	1.29	1.14	1.02	3.85	4.65	2.84	1.48	103.92	23.36	ND	2.95	3.53	1.56	22.41	3.65	2.21	37.66	51.81	ND	27.19	3.32	ND	ND	9.06	6.15	ND	ND	ND	15.54	7.51	ND	ND	82.32	ND	17.81	ND	20.42	ND	9.05	20.02	ND	14.22	133.54	2.34	0.51	1.04	2.52	ND	ND	6.72	4.42	5.37	6.21	32.38	ND	3.35	3.76	2.49	6.48	ND	8.39	14.70	ND	0.92	49.92	4.30	0.59	0.45	1.37	7.34	ND	ND	2.72	2.75	0.13	1.24	ND	4.57	3.14	3.66	7.47	22.64	3.20	ND	16.83	0.32	0.82	2.52	0.16	0.27	1.37	ND	1.05	3.20	0.40	0.90	17.38
JWL0170		ND	ND	ND	ND	ND	ND	ND	0.24	ND	ND	ND	ND	ND	ND	0.13	ND	ND	0.02	ND	0.09	ND	0.11	1.00	0.41	0.73	0.08	ND	ND	ND	0.29	0.12	0.07	0.25	0.37	ND	4.02	3.71	ND	0.05	0.03	0.03	ND	0.05	ND	0.08	ND	ND	0.32	1.17	ND	1.35	0.21	1.65	13.78	0.57	ND	0.10	ND	ND	0.12	0.44	0.17	ND	0.15	ND	0.15	0.84	ND	ND	ND	ND	ND	ND	0.44	ND	6.51	0.44	ND	0.07	0.01	0.03	ND	ND	ND	1.06	2.00	ND	0.71	ND	ND	ND	0.37	0.49	ND	0.02	0.01	0.13	0.27	ND	ND	7.12	ND	0.30	0.25	ND	ND	0.14	0.34	0.21	ND	4.48	0.07	ND	ND	ND	ND	0.01	0.72	ND	ND	0.08	3.73	ND	0.49	ND	ND	0.38	ND	ND	0.69	ND	ND	3.30	ND	ND	ND	0.03	ND	ND	ND	ND	0.02	ND	0.14	ND	0.43	0.03	ND	0.30	1.48	ND	ND	0.57	0.02	ND	0.02	ND	ND	0.58	0.71	0.14	ND	0.01	0.05	0.56
JWL0171		ND	ND	ND	ND	0.10	0.04	0.01	0.20	0.03	ND	ND	0.01	ND	0.01	0.02	ND	0.04	ND	ND	0.01	0.03	0.43	0.22	0.11	0.12	ND	ND	ND	ND	0.10	0.03	ND	ND	0.59	ND	1.18	0.77	0.07	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.12	0.13	ND	1.22	ND	0.38	2.57	0.25	0.06	0.03	ND	ND	0.01	ND	ND	ND	0.04	ND	0.01	0.11	ND	ND	ND	ND	ND	ND	0.12	0.07	0.73	ND	ND	0.01	ND	0.01	ND	0.02	0.02	0.20	0.23	ND	0.06	ND	ND	ND	0.06	0.08	ND	0.00	ND	0.03	0.01	ND	0.13	1.02	ND	ND	ND	ND	0.02	ND	0.03	0.04	ND	0.84	ND	ND	ND	ND	0.09	ND	0.09	ND	0.00	0.01	0.69	ND	0.05	ND	0.03	ND	ND	ND	0.05	0.04	ND	0.45	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.00	0.05	ND	0.07	0.01	0.02	0.05	0.09	ND	ND	ND	0.03	ND	ND	ND	ND	0.16	0.05	ND	0.01	ND	ND	ND
JWL0172		0.04	0.08	ND	0.03	ND	ND	0.01	0.20	ND	ND	ND	ND	ND	ND	0.51	ND	0.06	0.05	0.02	0.18	0.01	0.22	3.05	2.59	4.82	0.60	0.01	0.07	ND	0.77	0.25	0.29	0.38	0.25	ND	12.51	25.17	ND	0.24	0.11	0.12	ND	0.15	ND	0.40	6.01	ND	1.16	3.63	ND	0.46	ND	5.26	56.47	2.02	0.05	0.42	0.12	ND	0.26	0.81	1.20	0.20	ND	ND	0.47	1.98	0.26	0.05	ND	0.16	ND	0.06	ND	0.89	18.71	1.14	0.32	ND	ND	ND	1.32	0.73	ND	5.09	3.72	ND	1.94	0.13	ND	ND	1.40	0.94	ND	0.05	ND	0.52	0.51	ND	ND	16.28	ND	1.25	ND	0.93	ND	1.12	2.34	ND	ND	12.58	0.23	0.03	ND	0.49	ND	ND	2.09	0.49	0.46	0.40	9.08	ND	0.79	0.42	ND	0.46	1.13	ND	1.67	ND	ND	3.98	ND	ND	ND	0.09	ND	ND	ND	0.12	ND	ND	0.13	ND	0.77	0.16	0.20	0.90	1.88	ND	ND	ND	0.05	0.13	0.10	ND	0.03	0.34	0.54	0.20	0.20	0.03	0.13	1.65
JWL0173		0.03	0.05	ND	0.02	ND	ND	0.06	0.29	ND	ND	ND	ND	ND	ND	0.52	ND	0.03	0.01	ND	0.03	ND	0.04	1.80	0.11	0.86	0.11	0.09	0.03	ND	0.11	0.05	ND	0.07	0.06	ND	2.02	1.64	ND	0.07	0.02	ND	0.03	0.22	ND	1.43	ND	ND	0.13	0.40	ND	0.11	ND	1.60	5.49	0.53	ND	ND	0.03	0.03	0.25	3.43	1.37	ND	ND	ND	ND	0.19	0.15	ND	ND	0.13	ND	ND	ND	0.17	2.64	0.29	ND	0.08	ND	0.08	0.38	1.24	ND	3.40	1.44	0.18	0.33	0.05	ND	0.52	0.12	0.09	ND	ND	ND	0.17	0.18	ND	ND	2.26	0.13	0.16	0.13	0.12	0.05	0.11	0.75	ND	1.36	3.59	0.08	ND	0.12	1.93	ND	ND	0.25	0.05	0.07	0.06	3.31	ND	0.12	ND	0.19	0.08	0.16	ND	0.78	ND	0.04	1.46	ND	ND	ND	0.03	0.75	0.06	0.02	0.08	ND	ND	ND	ND	0.15	ND	0.13	1.15	0.57	ND	ND	0.22	ND	ND	0.05	ND	ND	ND	ND	0.02	ND	0.01	0.05	1.06
JWL0174		ND	ND	ND	0.04	ND	ND	ND	ND	0.01	ND	ND	ND	ND	0.41	0.25	ND	ND	0.07	ND	0.08	ND	0.10	1.39	2.10	2.19	ND	0.01	ND	0.01	0.50	0.20	0.20	0.14	0.05	ND	13.92	13.93	ND	0.20	0.03	0.04	0.22	0.18	ND	ND	ND	ND	0.84	2.05	0.06	0.08	ND	3.34	50.97	1.55	ND	0.38	0.19	ND	0.49	1.27	1.35	0.15	0.80	ND	ND	0.74	0.13	0.03	0.10	0.09	0.06	0.20	0.24	ND	3.30	ND	ND	0.06	0.33	0.16	2.28	0.28	0.18	6.06	4.74	ND	4.79	ND	ND	ND	0.22	ND	ND	ND	0.01	0.77	0.96	ND	ND	0.76	0.54	0.15	ND	ND	ND	0.80	ND	1.61	ND	24.63	0.27	0.11	0.15	1.00	ND	ND	0.10	ND	ND	0.38	0.46	ND	ND	ND	ND	0.17	0.67	ND	0.35	ND	0.05	4.32	0.28	0.04	ND	0.71	2.75	ND	ND	ND	0.07	ND	ND	ND	0.02	ND	ND	ND	1.17	0.07	0.01	5.07	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.21
JWL0175		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.03	0.01	0.14	0.01	ND	ND	ND	0.01	0.02	0.02	ND	ND	0.02	ND	1.50	0.37	0.01	0.00	ND	0.00	0.01	ND	ND	0.04	4.44	ND	0.07	0.14	ND	0.08	ND	0.29	2.93	0.13	ND	0.02	ND	ND	0.09	0.49	0.04	ND	0.07	0.10	ND	0.06	ND	ND	0.01	ND	ND	0.02	0.03	ND	0.44	ND	ND	ND	ND	0.03	0.23	0.13	ND	1.17	1.14	ND	0.20	ND	ND	ND	0.00	0.01	0.01	ND	ND	0.08	0.06	ND	ND	0.12	0.12	0.01	0.01	ND	ND	0.03	0.12	0.22	ND	4.23	0.05	ND	ND	0.06	ND	ND	ND	ND	ND	0.12	0.08	ND	ND	ND	ND	0.08	1.09	ND	0.17	ND	ND	2.41	0.16	ND	ND	0.09	0.23	ND	ND	ND	ND	ND	0.22	ND	ND	ND	ND	ND	0.93	ND	ND	0.28	0.01	ND	ND	ND	0.01	ND	0.39	ND	0.07	ND	ND	ND
