JWL0176		0.11	0.11	0.36	0.03	0.05	0.11	ND	0.21	0.44	1.40	ND	0.02	0.05	7.02	0.12	ND	ND	ND	0.02	0.24	ND	0.13	1.84	3.44	1.51	0.24	ND	ND	ND	0.81	ND	0.45	ND	0.08	2.16	20.13	25.47	ND	0.21	0.11	0.10	0.29	0.13	0.19	1.26	ND	ND	0.78	2.45	0.22	0.17	ND	5.63	65.26	1.59	ND	0.35	0.39	ND	1.07	ND	1.76	ND	3.09	0.17	0.27	1.17	ND	0.18	0.12	ND	0.28	0.82	ND	ND	4.88	0.78	ND	ND	0.75	ND	3.81	ND	ND	9.95	12.29	ND	7.09	ND	0.02	ND	0.41	ND	0.25	0.10	0.02	2.52	1.37	ND	ND	1.24	2.26	0.77	ND	0.99	ND	0.89	3.82	ND	ND	47.12	1.22	0.11	0.25	0.63	ND	ND	0.31	0.13	ND	1.64	1.32	0.79	0.11	0.10	ND	0.86	ND	0.58	ND	ND	0.19	20.27	3.85	0.81	0.20	1.06	3.90	0.11	0.04	ND	0.47	0.06	0.13	0.46	0.14	ND	0.44	ND	11.37	0.25	0.08	6.60	ND	ND	0.60	ND	ND	ND	ND	ND	ND	ND	0.04	4.22
JWL0177		0.21	0.08	0.94	0.03	0.04	0.06	0.02	0.23	0.13	0.67	0.02	0.02	0.06	2.70	1.41	0.23	0.16	0.19	0.03	0.10	ND	0.27	1.56	1.84	1.17	0.24	0.04	ND	ND	0.23	ND	0.12	0.09	0.13	1.57	9.11	11.34	ND	0.12	0.08	0.11	0.11	ND	0.24	1.40	ND	0.02	0.40	1.26	0.12	0.38	ND	3.48	44.88	1.51	0.19	0.20	0.11	0.09	0.57	3.26	1.20	0.11	3.18	ND	0.12	0.85	ND	0.15	0.09	ND	0.19	0.42	ND	0.38	3.27	1.16	ND	0.17	0.22	0.34	3.56	0.87	ND	7.07	8.89	ND	3.45	ND	0.06	ND	0.27	ND	0.14	0.08	ND	2.85	0.15	0.03	0.03	1.64	1.08	0.27	ND	1.32	0.11	ND	1.29	ND	14.81	47.78	0.95	0.10	0.31	1.30	ND	0.12	0.11	ND	1.37	2.53	ND	1.63	0.11	ND	0.07	2.04	ND	0.73	1.95	ND	0.43	28.93	6.54	2.02	0.30	1.17	4.35	0.08	0.03	0.17	0.64	ND	0.01	0.34	0.14	ND	0.81	1.35	15.07	0.63	0.13	6.95	ND	ND	0.96	0.04	ND	ND	ND	ND	0.04	ND	ND	7.94
JWL0178		0.28	0.08	2.18	0.03	0.09	0.11	0.01	0.39	0.20	1.49	0.03	0.04	0.03	3.84	ND	0.39	ND	ND	0.13	0.27	0.02	0.11	1.63	1.69	1.05	0.18	ND	ND	ND	0.44	ND	0.68	ND	0.13	4.96	14.29	19.42	ND	0.32	0.14	0.10	0.17	0.11	0.06	0.58	6.53	ND	0.27	2.60	0.12	0.55	ND	ND	65.37	2.44	0.13	0.33	0.26	ND	0.73	2.76	2.07	0.13	3.32	ND	0.29	1.85	ND	0.19	0.22	0.04	0.27	0.52	0.44	0.37	6.98	2.21	ND	0.62	ND	ND	3.23	0.71	ND	10.30	11.96	ND	8.62	ND	ND	0.20	0.97	ND	ND	0.12	0.03	4.23	2.08	ND	ND	5.86	ND	1.19	ND	2.18	ND	0.61	1.57	1.02	10.36	75.28	1.42	0.18	ND	1.04	ND	ND	0.37	0.24	1.68	3.10	ND	3.88	0.31	ND	0.27	0.87	ND	0.86	3.24	ND	0.46	38.72	7.71	1.94	0.28	0.87	3.93	0.17	0.08	0.42	0.83	ND	ND	0.64	0.25	0.06	0.67	3.65	21.57	0.89	0.09	10.27	ND	ND	1.53	0.07	0.09	ND	ND	ND	ND	ND	0.23	11.60
JWL0179		0.02	ND	ND	0.00	ND	ND	ND	0.02	0.01	ND	ND	0.00	ND	0.08	ND	0.02	ND	ND	ND	ND	ND	0.11	0.12	0.11	0.06	0.00	ND	ND	0.01	0.03	ND	ND	ND	0.58	0.51	0.97	0.67	0.07	ND	0.00	ND	0.01	ND	ND	ND	ND	0.01	ND	0.06	ND	2.25	0.23	0.21	1.86	0.13	ND	0.01	ND	ND	0.04	0.18	ND	ND	0.40	0.08	0.01	0.05	ND	ND	ND	ND	0.02	0.07	ND	ND	0.29	0.02	0.01	ND	ND	ND	0.26	ND	ND	0.66	1.95	ND	0.16	ND	ND	ND	0.02	ND	0.01	ND	ND	1.02	0.15	ND	0.03	0.09	0.11	0.02	ND	ND	0.03	ND	0.28	ND	3.69	13.88	0.17	0.00	ND	ND	0.01	0.01	0.02	0.00	0.13	0.45	0.07	0.05	0.01	0.01	ND	ND	ND	0.05	0.24	ND	0.16	7.81	1.34	0.17	ND	0.06	0.23	0.01	0.00	ND	0.19	0.03	ND	0.04	0.01	0.00	ND	ND	5.28	0.06	ND	0.48	ND	0.01	0.19	ND	ND	0.01	0.03	0.01	0.01	ND	0.01	2.17
JWL0180		0.02	0.02	ND	0.01	ND	ND	ND	0.04	ND	ND	0.00	0.01	ND	0.05	0.03	ND	ND	ND	ND	ND	ND	0.05	0.08	0.09	0.06	ND	ND	ND	ND	0.01	ND	ND	ND	0.26	3.60	0.60	0.48	0.14	0.00	0.00	0.01	ND	ND	0.11	0.56	1.68	0.00	ND	0.05	0.03	0.77	ND	0.19	1.91	0.26	0.19	0.04	ND	ND	0.16	0.67	0.11	ND	1.02	ND	ND	0.03	ND	0.07	0.02	ND	0.01	0.09	ND	0.03	0.16	0.03	ND	ND	ND	0.05	0.83	ND	ND	3.06	2.79	0.08	0.22	ND	ND	ND	ND	ND	ND	ND	ND	1.24	0.11	ND	0.03	0.06	0.05	ND	ND	ND	0.13	ND	ND	ND	ND	13.59	0.19	ND	0.09	0.27	ND	ND	ND	ND	0.22	0.41	0.04	0.03	ND	ND	ND	0.08	ND	0.06	ND	0.25	0.42	9.74	1.87	0.40	0.04	0.27	0.91	0.00	ND	ND	0.17	0.10	ND	ND	0.01	ND	ND	ND	6.72	0.12	ND	1.11	ND	ND	0.28	0.01	0.01	ND	ND	ND	ND	ND	0.02	3.91
JWL0181		0.01	0.02	ND	0.01	ND	0.00	ND	0.01	ND	ND	ND	ND	ND	0.03	ND	0.02	ND	ND	ND	ND	ND	0.19	0.06	0.05	0.01	0.00	ND	ND	ND	0.01	ND	ND	ND	0.79	0.28	0.48	0.21	0.10	ND	ND	0.00	ND	ND	ND	ND	0.28	0.01	ND	0.02	ND	2.85	0.09	0.12	0.87	0.13	ND	ND	0.00	ND	ND	0.01	ND	ND	0.16	0.05	ND	0.01	ND	0.01	ND	ND	ND	ND	ND	ND	0.09	0.01	0.01	ND	ND	ND	0.07	0.03	ND	0.14	0.42	ND	0.02	ND	ND	ND	0.01	0.00	ND	ND	ND	0.25	ND	ND	ND	0.02	0.03	0.00	0.00	ND	0.00	ND	ND	ND	1.22	3.39	ND	ND	ND	ND	0.01	0.01	ND	ND	ND	0.11	0.02	0.01	ND	ND	ND	ND	ND	0.01	0.04	ND	0.06	1.95	0.25	ND	ND	ND	0.05	0.00	ND	ND	0.05	ND	ND	0.01	0.00	0.00	ND	ND	1.44	ND	ND	0.23	0.00	0.01	0.04	ND	ND	0.01	0.01	0.00	ND	ND	ND	0.51
JWL0185		ND	0.05	0.53	0.02	ND	ND	ND	0.20	0.16	0.25	0.02	0.05	0.08	1.63	0.57	ND	ND	0.05	0.03	0.35	ND	0.31	7.33	0.55	3.65	ND	ND	0.07	0.03	1.11	ND	0.26	ND	0.37	11.39	32.12	26.47	ND	0.19	0.09	0.07	0.42	0.20	0.11	0.82	4.13	ND	0.13	1.12	0.10	1.10	ND	2.74	35.36	1.10	ND	0.16	0.06	0.08	0.70	0.43	0.97	ND	4.21	0.31	0.15	0.67	ND	0.15	ND	ND	0.11	0.75	ND	ND	5.89	0.45	ND	0.09	ND	0.10	2.28	0.29	0.19	7.88	16.06	ND	4.59	ND	ND	ND	0.34	ND	ND	ND	ND	5.34	0.89	0.06	0.03	0.88	0.68	0.12	0.06	0.26	0.13	ND	1.34	ND	17.63	58.64	0.95	0.09	0.08	ND	ND	ND	0.12	0.05	0.86	1.78	0.34	0.28	0.04	0.04	ND	ND	ND	0.14	1.26	ND	1.08	36.97	4.74	0.96	0.13	0.71	2.59	0.06	ND	ND	0.85	0.18	ND	0.35	0.04	ND	ND	ND	26.30	0.42	0.04	4.48	ND	ND	1.45	0.05	ND	ND	ND	ND	0.26	ND	0.05	12.46
JWL0188		ND	0.28	2.75	0.12	0.07	0.16	ND	0.45	0.20	1.81	ND	0.09	0.04	5.57	ND	ND	ND	ND	ND	0.17	ND	0.27	0.26	3.57	1.22	0.14	ND	ND	ND	0.55	ND	0.22	ND	0.35	ND	17.35	27.69	ND	0.24	0.08	0.09	0.30	0.22	ND	0.35	3.88	ND	0.52	2.20	ND	0.61	ND	5.76	81.07	1.40	ND	0.39	0.12	ND	0.64	2.17	1.63	ND	1.77	ND	0.30	1.24	ND	ND	ND	ND	ND	0.61	0.23	0.24	4.83	0.80	ND	0.13	0.26	0.19	3.11	ND	ND	8.41	11.08	ND	7.02	ND	0.02	ND	0.82	ND	ND	ND	ND	2.51	1.17	ND	ND	2.52	2.13	0.72	ND	0.56	ND	0.50	2.06	1.14	7.72	50.59	1.15	0.13	ND	0.35	ND	ND	0.53	ND	0.50	1.50	1.62	1.38	0.28	ND	ND	0.67	ND	0.34	2.92	ND	0.34	21.43	3.47	0.65	ND	0.90	5.84	0.17	0.05	ND	0.65	0.04	0.15	1.20	0.20	0.06	0.49	2.87	15.60	0.38	ND	7.80	ND	ND	0.92	ND	0.09	ND	ND	0.06	0.03	0.02	0.12	5.26
JWL0189		0.03	ND	0.20	0.01	0.13	ND	ND	0.36	0.06	ND	ND	ND	ND	0.06	ND	0.14	ND	ND	ND	ND	ND	0.73	0.08	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.85	ND	0.19	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.01	0.01	ND	ND	1.65	ND	0.07	0.43	0.10	0.03	ND	ND	ND	0.03	ND	ND	ND	0.30	ND	ND	ND	ND	0.07	ND	ND	ND	0.33	ND	ND	ND	ND	ND	ND	ND	0.09	ND	ND	1.89	ND	7.62	ND	0.13	0.09	ND	ND	ND	ND	ND	ND	ND	4.90	0.22	0.06	0.14	ND	ND	ND	ND	ND	2.08	ND	ND	ND	16.99	4.84	0.36	0.14	ND	ND	0.07	0.01	ND	0.01	1.33	0.21	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.20	1.09	1.56	0.22	ND	ND	ND	0.17	ND	ND	ND	0.06	ND	ND	ND	ND	ND	ND	ND	0.25	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.12
JWL0190		ND	0.02	ND	ND	ND	ND	ND	0.01	ND	ND	0.00	ND	ND	ND	ND	0.01	ND	0.00	ND	ND	ND	0.09	0.06	0.01	0.00	ND	ND	0.00	0.01	0.02	0.02	ND	ND	0.15	ND	0.26	ND	0.04	ND	ND	ND	ND	ND	0.02	0.04	ND	ND	0.02	0.02	0.02	0.19	ND	0.04	0.12	0.06	ND	0.01	ND	ND	0.14	0.39	ND	ND	0.12	ND	ND	0.01	ND	0.02	0.02	ND	ND	0.12	0.01	ND	0.04	0.01	ND	ND	ND	ND	0.34	ND	0.27	0.50	1.18	0.01	0.08	0.02	ND	ND	ND	ND	0.01	ND	0.01	0.42	0.14	ND	0.02	0.02	0.03	ND	ND	0.13	0.12	ND	0.20	0.35	1.43	3.43	0.09	0.01	ND	ND	0.01	0.00	ND	ND	0.22	0.68	0.01	0.03	ND	ND	ND	0.04	ND	ND	ND	0.28	0.09	2.73	0.31	0.02	ND	0.12	ND	ND	0.00	ND	0.11	ND	ND	0.00	0.00	ND	ND	ND	0.35	0.02	ND	0.31	ND	0.00	ND	ND	ND	ND	0.01	ND	ND	ND	0.01	0.07
JWL0191		0.02	0.02	ND	0.01	ND	ND	0.05	0.72	ND	ND	ND	0.18	ND	ND	0.01	0.00	0.00	ND	ND	ND	ND	ND	0.03	0.02	0.04	ND	ND	ND	ND	ND	ND	ND	ND	0.03	ND	0.15	0.05	0.02	ND	ND	0.02	ND	0.16	ND	1.57	ND	ND	ND	ND	ND	0.03	0.01	ND	0.23	0.08	ND	0.03	ND	0.04	0.02	2.03	0.49	0.06	0.61	ND	ND	ND	0.16	ND	0.01	ND	ND	0.01	0.07	ND	0.08	0.08	0.05	ND	ND	ND	ND	0.73	ND	2.73	1.68	0.09	0.32	ND	0.02	0.32	ND	ND	ND	ND	ND	0.54	0.02	ND	ND	0.07	0.11	ND	0.06	ND	ND	ND	1.48	ND	5.42	9.46	0.61	0.42	ND	0.84	ND	ND	ND	ND	0.30	0.08	ND	0.23	ND	ND	ND	ND	0.09	0.16	3.03	ND	ND	4.48	ND	ND	ND	ND	ND	ND	ND	ND	0.06	ND	ND	0.06	ND	ND	ND	ND	5.08	ND	ND	ND	ND	ND	ND	ND	0.02	ND	ND	ND	ND	ND	ND	0.28
																																																																																																																																																																						
Total Analytes	165	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	134	0	0	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1
