JWL0166		0.14	1.78	ND	ND	0.77	0.82	ND	0.92	0.23	ND	6.20	ND	0.51	32.40	0.34	0.84	0.21	0.11	ND	ND	0.30	ND	ND	0.95	1.51	0.35	2.37	0.37	ND	8.61	1.06	ND	0.70	ND	2.12	ND	1.57	0.56	0.68	ND	8.24	1.30	1.93	ND	ND	29.34	ND	ND	ND	ND	0.32	0.51	ND	0.14	0.65	ND	ND	0.26	ND	ND	0.64	0.71	ND	0.38	0.88	2.99	3.40	1.51	0.97	ND	6.75	ND	22.52	19.20	1.68	0.57	ND	54.91	0.44	0.55	7.63	1.56	ND	1.27	ND	ND	ND	0.13	ND	0.17	1.38	0.78	0.88	0.16	ND	ND	ND	2.98	ND	0.19	ND	ND	1.35	2.53	0.27	5.27	19.05	12.52	35.99	50.77	0.94	43.47	ND	0.41	ND	ND	ND	ND	ND	0.13	0.96	0.21	ND	0.77	1.44	0.19	0.88	ND	1.77	0.23	ND	24.12	1.59	1.20	35.27	0.76
JWL0167		0.61	3.22	0.34	0.57	7.77	13.75	ND	1.74	ND	2.29	12.66	ND	2.49	55.28	2.35	7.86	ND	ND	ND	ND	1.00	ND	0.49	0.83	3.29	0.69	1.46	0.69	ND	8.72	2.73	ND	2.23	0.35	3.86	1.41	3.39	1.02	1.43	0.45	11.44	2.07	6.40	ND	ND	27.50	1.29	0.84	ND	ND	ND	3.17	ND	ND	0.38	ND	ND	0.37	ND	ND	1.48	1.01	ND	0.27	1.92	2.12	6.12	ND	3.81	ND	9.49	0.71	26.14	21.16	3.09	0.80	ND	41.26	0.71	0.35	6.80	1.60	ND	1.16	ND	ND	ND	0.29	0.16	0.81	0.74	2.74	1.38	ND	ND	ND	ND	5.76	ND	0.44	ND	ND	ND	3.82	0.76	13.90	38.19	20.11	24.50	73.27	2.36	21.66	ND	0.45	ND	ND	ND	ND	0.53	ND	1.80	1.07	ND	ND	ND	ND	0.89	ND	4.14	0.36	ND	30.89	5.15	1.21	26.81	1.02
JWL0168		ND	ND	ND	ND	ND	ND	ND	ND	0.12	1.15	2.50	0.25	2.21	10.79	0.48	ND	0.30	ND	ND	ND	0.26	0.14	0.29	0.44	0.92	ND	ND	ND	ND	1.42	ND	0.99	1.12	ND	1.45	1.74	1.42	1.88	ND	ND	2.92	1.50	7.14	ND	ND	9.56	ND	ND	0.26	ND	ND	ND	ND	ND	ND	ND	ND	0.30	0.47	ND	0.21	1.38	ND	0.60	0.87	2.84	5.81	ND	ND	0.20	5.45	ND	7.09	15.19	0.12	4.13	1.29	23.94	ND	ND	4.79	4.17	ND	5.37	ND	0.73	ND	0.35	ND	ND	ND	ND	ND	0.29	1.24	ND	ND	0.75	ND	0.21	0.59	ND	ND	1.76	0.30	3.00	6.81	7.69	33.02	10.80	ND	28.97	ND	1.98	ND	ND	ND	ND	ND	0.33	0.80	0.15	ND	0.60	ND	ND	ND	ND	ND	ND	ND	23.12	0.34	0.28	25.02	ND
JWL0169		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0170		ND	0.26	0.36	ND	ND	ND	ND	ND	0.56	1.77	2.89	ND	1.88	9.47	ND	ND	ND	ND	ND	ND	0.11	ND	ND	0.18	ND	ND	ND	ND	ND	0.64	ND	1.11	0.55	ND	0.59	0.97	0.52	ND	ND	ND	0.63	0.94	0.79	ND	ND	4.22	ND	ND	ND	ND	ND	ND	ND	0.20	0.39	ND	ND	0.29	ND	ND	ND	ND	ND	ND	0.13	ND	ND	ND	2.41	ND	0.27	ND	0.48	1.44	ND	1.02	ND	1.84	ND	ND	0.95	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.18	ND	ND	ND	ND	ND	0.30	ND	14.12	36.51	30.96	0.75	32.68	ND	1.32	ND	ND	ND	ND	ND	ND	0.67	0.19	ND	1.10	ND	ND	ND	0.27	ND	ND	5.27	12.88	ND	33.22	11.92	10.48	56.88	ND
JWL0171		ND	ND	ND	ND	ND	ND	ND	ND	ND	0.26	0.55	ND	0.38	1.66	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.14	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.19	ND	ND	ND	ND	0.67	ND	ND	0.67	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.04	0.69	0.20	ND	ND	ND	ND	ND	0.36	ND	ND	ND	0.67	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.23	1.89	ND	1.26	1.98	1.50	0.45	1.66	ND	0.33	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.29	ND	ND	4.38	ND	0.33	2.74	ND
JWL0172		ND	0.56	1.01	0.30	1.23	1.30	ND	ND	0.46	2.00	5.36	3.13	8.04	66.01	2.69	2.02	0.64	ND	ND	ND	0.41	ND	1.26	1.48	1.45	1.04	ND	0.21	ND	0.78	ND	1.23	0.80	ND	1.65	4.11	1.25	1.02	0.27	0.14	3.11	4.44	14.46	ND	ND	35.16	ND	ND	3.71	ND	ND	ND	ND	0.23	ND	ND	ND	0.63	0.15	ND	0.25	0.56	0.45	ND	ND	7.38	4.86	ND	1.12	ND	1.87	ND	2.53	5.77	ND	6.53	ND	15.88	ND	ND	4.60	1.02	ND	7.48	ND	ND	ND	1.02	ND	0.66	0.38	1.48	1.02	0.71	ND	ND	ND	1.89	ND	0.26	0.16	ND	13.02	10.72	0.25	20.09	38.00	28.54	11.85	68.86	ND	19.12	ND	ND	ND	ND	ND	ND	1.75	0.66	5.35	3.85	ND	3.56	ND	0.32	0.84	ND	5.81	1.31	ND	92.54	ND	11.08	96.93	ND
JWL0173		ND	0.37	ND	0.18	0.84	0.63	0.33	0.08	ND	2.11	4.94	ND	3.94	22.40	0.67	0.98	0.29	0.17	0.10	ND	0.20	0.12	0.33	0.40	0.79	0.43	ND	0.30	ND	ND	0.42	ND	0.81	ND	1.12	0.23	1.12	1.85	ND	ND	2.91	6.09	6.05	ND	ND	14.53	ND	ND	0.64	ND	ND	ND	ND	ND	ND	ND	ND	0.35	0.09	0.22	0.11	0.52	0.28	0.33	0.42	0.66	1.54	1.20	0.78	ND	0.95	0.12	1.84	6.49	0.23	0.91	ND	24.39	ND	ND	2.19	0.85	ND	3.42	ND	ND	ND	0.11	0.13	0.10	0.38	0.13	0.72	0.29	ND	ND	ND	1.97	ND	ND	ND	ND	2.42	7.57	0.38	6.59	17.83	26.12	5.20	64.54	0.83	16.44	0.17	ND	ND	ND	ND	ND	0.49	0.42	0.49	1.38	ND	1.35	1.40	ND	0.97	0.47	1.49	3.64	ND	36.96	8.02	10.43	49.38	0.62
JWL0174		ND	2.40	1.59	ND	ND	1.29	ND	ND	1.15	2.38	26.70	ND	ND	0.40	ND	ND	ND	ND	ND	1.13	4.54	ND	0.84	2.03	4.39	ND	3.54	ND	ND	10.43	4.79	6.13	3.24	ND	14.87	4.59	1.43	10.70	0.49	ND	16.34	ND	11.49	ND	ND	28.54	ND	0.45	ND	0.57	2.14	ND	ND	0.73	ND	ND	0.32	ND	ND	ND	0.67	1.49	ND	0.81	4.14	7.63	18.73	6.62	1.85	ND	9.27	ND	21.72	35.68	ND	5.63	ND	81.55	ND	2.31	19.12	0.34	ND	7.22	0.36	ND	ND	0.35	0.56	0.80	ND	0.62	3.86	ND	0.27	0.57	ND	5.50	ND	ND	0.87	ND	ND	9.23	ND	6.62	7.25	21.04	41.86	20.35	ND	82.00	0.24	ND	ND	ND	ND	ND	ND	ND	1.36	ND	2.16	ND	ND	ND	ND	ND	0.28	ND	ND	16.91	0.57	ND	23.33	ND
JWL0175		ND	0.78	0.88	ND	ND	0.14	0.34	ND	ND	2.43	25.75	ND	1.89	34.84	ND	ND	ND	ND	ND	0.21	4.16	ND	ND	0.75	4.83	ND	0.35	ND	ND	0.27	ND	1.57	1.18	0.46	9.23	1.52	0.97	0.78	0.51	0.64	8.54	1.97	2.95	ND	ND	37.34	ND	0.23	ND	ND	ND	ND	ND	0.68	ND	ND	0.22	0.24	ND	ND	ND	ND	ND	ND	3.39	3.25	2.83	1.01	0.50	ND	2.06	ND	1.59	2.77	ND	2.67	ND	3.53	0.19	ND	10.41	ND	ND	3.03	ND	ND	0.31	0.94	ND	0.31	0.88	0.16	0.78	0.61	ND	ND	ND	0.50	ND	0.17	ND	ND	4.43	16.80	ND	8.47	10.84	25.77	2.95	18.39	ND	3.60	ND	ND	ND	ND	ND	ND	ND	1.16	1.06	ND	ND	ND	ND	ND	1.13	ND	0.63	ND	ND	37.62	0.82	ND	26.89	ND
