JWL0166		ND	0.06	ND	ND	ND	0.24	2.89	2.87	1.40	203.95	2.45	1.93	ND	0.55	0.10	0.37	0.19	0.19	ND	ND	23.03	10.03	ND	ND	ND	0.29	0.26	ND	6.99	ND	ND	ND	0.23	ND	ND	ND	3.58	ND	8.42	ND	ND	ND	42.10	0.46	ND	ND	ND	ND	ND	ND	16.27	0.17	ND	ND	ND	ND	0.09	0.21	0.22	0.43	0.22	ND	2.84	2.36	2.97	13.06	ND	ND	ND	77.16	0.58	0.03	0.04	0.20	0.04	0.17	ND	ND	5.29	2.70	3.15	1.91	ND	ND	23.99	0.19	0.14	280.40	2.50	1.76	ND	2.33	ND	ND	6.82	14.51	1.24	0.07	0.15	ND	0.03	0.03	0.14	1.27	1.21	2.53	0.04	ND	0.09	0.09	ND	ND	ND	3.82	2.30	ND	ND	ND	ND	0.04	0.08	0.31	ND	0.29	0.91	0.12	0.03	0.14	ND	ND	ND	0.07	ND	0.21	0.08	0.39	ND	0.28	0.06	ND	ND	10.19	ND	0.09	7.90	ND	1.27	0.03	0.09	ND	ND	0.10	ND	0.76	0.50	0.11	ND	ND	ND	ND	ND	ND	0.35	ND	0.18	ND	ND	ND	0.35	ND	0.44	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.13	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.31	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.05	0.07	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.24	ND	0.66	0.15	ND	ND	0.08	ND	ND	ND
JWL0167		ND	0.19	5.32	ND	ND	ND	9.46	2.84	1.39	129.48	1.91	0.65	0.81	1.05	0.36	1.92	0.17	0.09	ND	ND	19.78	34.76	ND	0.11	0.22	0.20	1.38	ND	37.85	ND	0.22	0.35	0.20	0.28	ND	ND	4.89	1.62	9.21	5.29	0.04	0.05	47.52	0.55	ND	ND	ND	ND	ND	6.07	21.70	0.24	ND	0.79	0.10	ND	0.17	0.18	0.26	0.56	0.02	ND	3.63	2.77	2.66	21.65	ND	0.12	ND	107.15	0.64	0.04	0.15	2.09	0.61	0.21	ND	0.26	3.12	0.75	2.55	0.39	0.33	ND	ND	ND	ND	116.61	1.04	0.76	ND	ND	0.44	ND	2.81	25.58	10.69	ND	ND	ND	0.04	0.03	0.05	0.49	ND	1.20	0.01	0.20	0.24	0.21	ND	ND	ND	3.20	6.49	0.03	0.03	0.02	ND	ND	0.03	0.42	0.43	1.51	2.05	0.02	ND	ND	ND	0.18	0.08	0.04	ND	ND	0.05	0.78	ND	0.32	0.16	ND	ND	5.84	ND	0.01	ND	ND	1.91	ND	0.01	ND	ND	ND	ND	0.67	0.41	ND	0.04	ND	ND	ND	0.11	ND	0.20	ND	0.01	ND	ND	ND	0.02	ND	0.19	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.02	ND	ND	ND	ND	0.38	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.03	ND	ND	0.03	ND	ND	ND	0.03	ND	0.02	0.03	ND	ND	0.28	0.30	0.43	0.68	0.08	2.44	0.01	ND	ND	ND	0.41
JWL0168		ND	ND	ND	0.05	ND	ND	ND	ND	ND	0.99	ND	ND	ND	1.12	ND	ND	ND	ND	ND	ND	ND	0.45	ND	ND	ND	10.67	2.68	ND	17.02	ND	0.20	0.12	ND	ND	ND	ND	ND	ND	3.43	51.66	0.47	ND	18.29	0.19	ND	ND	ND	ND	2.00	7.63	3.82	ND	ND	0.08	ND	ND	0.13	0.04	ND	0.23	ND	9.19	8.49	6.58	ND	64.80	ND	ND	ND	69.06	ND	ND	0.20	0.36	0.96	ND	ND	ND	2.39	0.11	1.28	ND	ND	1.59	136.16	0.74	ND	175.30	1.53	1.03	ND	ND	ND	6.66	ND	13.85	ND	ND	ND	ND	ND	0.04	1.82	1.61	3.66	3.47	ND	ND	0.49	0.16	0.10	ND	49.43	ND	6.53	0.03	0.03	0.03	ND	0.08	0.08	1.92	ND	0.31	ND	0.12	ND	0.14	ND	0.05	ND	0.08	ND	ND	0.24	ND	ND	2.43	ND	1.34	ND	217.25	ND	ND	17.92	ND	1.91	0.09	0.10	0.31	0.10	ND	0.55	4.50	1.44	0.13	0.95	ND	ND	0.07	4.44	0.62	0.22	ND	0.18	ND	ND	ND	ND	ND	ND	ND	ND	44.44	ND	0.32	ND	ND	0.27	ND	ND	ND	ND	8.72	5.94	ND	ND	ND	ND	ND	0.14	0.04	2.57	446.99	ND	ND	ND	ND	5.98	ND	ND	ND	ND	ND	0.13	18.86	0.33	ND	0.05	0.05	ND	80.59	2.29	ND	ND	0.05	0.07	ND	0.05	0.04	0.04	ND	ND	0.09	ND	ND	ND	ND	0.08	ND	ND	ND
JWL0169		0.02	ND	ND	ND	ND	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.02	ND	ND	ND	ND	0.06	ND	0.02	ND	ND	ND	ND	0.07	ND	ND	0.05	6.57	ND	ND	ND	ND	ND	ND	4.50	ND	0.20	0.20	0.09	ND	ND	ND	ND	ND	0.06	ND	ND	ND	ND	3.88	5.29	ND	ND	0.55	ND	4.29	ND	12.07	ND	ND	ND	0.03	0.04	ND	ND	0.06	1.94	ND	ND	ND	ND	166.28	ND	ND	ND	19.73	0.16	0.13	ND	ND	0.31	1.28	ND	8.03	0.48	ND	ND	ND	ND	0.02	1.39	1.15	0.18	ND	ND	ND	0.55	ND	ND	16.25	40.01	ND	ND	ND	ND	ND	ND	0.12	ND	0.42	ND	4.64	0.47	ND	ND	ND	ND	1.81	ND	ND	ND	ND	ND	0.03	ND	0.44	ND	ND	10.92	16.23	ND	ND	2.42	0.38	0.36	0.09	0.04	ND	0.08	ND	2.97	3.98	ND	0.07	0.05	0.06	ND	ND	9.73	0.39	0.31	ND	ND	ND	ND	ND	0.10	ND	ND	ND	ND	12.40	ND	ND	ND	ND	1.01	ND	0.07	1.30	0.13	ND	ND	ND	0.42	ND	0.05	ND	ND	0.02	ND	22.00	ND	0.08	ND	ND	ND	ND	ND	0.03	ND	0.22	ND	ND	ND	0.02	0.05	ND	ND	ND	0.37	ND	ND	0.05	ND	0.02	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.05	ND	ND	ND
JWL0170		ND	ND	ND	ND	ND	ND	ND	ND	0.18	0.51	ND	ND	0.15	ND	ND	ND	ND	0.10	0.11	ND	1.14	0.09	ND	ND	ND	ND	ND	ND	0.55	ND	0.05	ND	ND	0.23	ND	0.40	0.25	ND	0.44	5.74	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.10	3.10	ND	ND	ND	0.26	ND	0.65	ND	ND	ND	ND	4.37	3.94	3.94	ND	5.14	ND	4.69	ND	109.40	ND	ND	0.05	0.17	0.13	ND	ND	ND	13.66	ND	ND	ND	ND	274.16	ND	ND	ND	75.31	0.63	0.44	ND	ND	0.78	ND	ND	39.99	4.61	ND	ND	0.09	ND	0.07	1.32	0.75	1.15	5.83	ND	ND	4.28	ND	ND	ND	90.62	ND	ND	ND	ND	ND	ND	0.08	ND	0.75	ND	12.37	1.35	0.21	0.08	ND	ND	0.84	0.63	0.12	0.03	ND	ND	0.14	ND	14.91	ND	1.32	39.16	200.79	ND	ND	4.00	ND	2.43	0.09	ND	ND	0.29	ND	4.72	6.05	0.81	0.25	0.92	2.14	ND	ND	76.27	1.25	ND	ND	0.07	ND	ND	ND	1.79	ND	ND	63.69	ND	7.18	ND	ND	0.31	ND	3.07	0.03	0.27	8.51	ND	1.79	1.26	ND	2.35	0.03	0.03	ND	3.70	ND	22.11	180.24	ND	0.76	ND	ND	4.83	ND	2.60	0.77	0.21	ND	ND	11.14	ND	0.02	ND	0.12	ND	133.14	2.98	0.04	0.83	0.06	0.09	ND	0.04	ND	ND	ND	ND	0.04	ND	ND	ND	ND	ND	ND	0.09	10.20
JWL0171		0.05	ND	ND	ND	ND	ND	ND	0.93	ND	14.69	0.19	0.58	0.40	0.08	ND	0.17	0.10	0.20	0.05	ND	2.22	1.75	ND	ND	2.72	0.08	0.14	ND	0.12	ND	ND	ND	0.08	1.00	0.04	0.48	ND	ND	3.00	113.43	0.95	0.67	10.61	0.11	2.02	ND	1.40	ND	0.83	0.70	3.24	0.04	ND	0.03	0.08	ND	0.11	0.06	0.12	0.25	0.05	7.97	16.39	12.62	9.06	50.28	0.25	ND	ND	31.34	ND	ND	0.03	ND	ND	0.03	ND	ND	1.82	ND	0.55	ND	0.06	259.44	ND	ND	ND	128.61	1.11	0.76	ND	0.54	0.27	2.78	ND	8.05	0.46	ND	0.17	ND	0.04	0.06	3.13	2.51	3.21	ND	ND	ND	0.46	0.20	ND	ND	61.00	ND	3.24	ND	ND	ND	0.07	0.22	0.06	1.21	0.24	0.25	0.08	0.08	0.06	0.19	ND	ND	ND	0.09	ND	ND	0.04	0.02	0.04	2.92	0.19	0.79	ND	139.10	ND	ND	3.46	ND	0.61	ND	0.07	ND	0.08	0.08	3.14	2.95	0.83	0.08	0.13	0.12	ND	ND	7.06	0.25	0.17	ND	0.09	ND	ND	ND	0.41	0.12	ND	11.53	ND	0.34	ND	ND	ND	ND	0.04	ND	0.07	0.64	ND	ND	ND	ND	ND	ND	0.17	0.14	0.14	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.24	0.48	ND	ND	ND	0.31	ND	0.31	0.61	0.15	0.31	0.27	ND	ND	ND	ND	ND	ND	ND	ND	0.08	ND	ND	0.90
JWL0172		0.06	ND	0.29	0.08	ND	ND	ND	ND	ND	0.45	ND	0.74	ND	0.19	0.04	ND	ND	0.26	0.03	ND	0.16	0.04	0.06	1.20	ND	ND	0.08	ND	0.17	0.03	ND	0.08	ND	0.17	0.04	2.11	ND	ND	0.86	86.26	0.93	ND	ND	ND	0.37	ND	1.58	1.06	0.87	0.83	4.05	3.02	ND	0.13	0.03	ND	0.87	ND	ND	0.07	ND	15.97	5.38	ND	ND	4.91	0.09	ND	ND	42.79	0.36	0.04	ND	ND	1.00	0.04	ND	ND	15.18	ND	ND	ND	0.07	167.39	ND	ND	ND	51.38	0.40	0.30	0.12	ND	0.56	2.58	1.69	7.77	0.40	0.07	0.25	ND	0.03	0.03	1.94	0.63	0.71	3.81	0.04	0.12	4.11	ND	0.12	ND	41.02	ND	ND	ND	ND	ND	ND	0.02	0.03	0.57	ND	0.70	ND	0.11	0.01	0.04	ND	ND	ND	0.08	ND	ND	ND	ND	0.04	8.48	ND	0.26	ND	32.83	ND	ND	1.04	ND	0.34	ND	0.04	0.02	0.58	0.04	1.05	2.35	ND	0.14	0.66	0.93	ND	ND	11.55	ND	ND	ND	0.09	ND	ND	ND	0.69	ND	ND	2.67	ND	3.46	ND	ND	ND	ND	0.19	ND	0.04	2.09	1.09	14.26	ND	ND	0.38	ND	0.10	ND	4.79	ND	36.26	162.93	ND	ND	ND	ND	1.38	ND	ND	ND	ND	ND	0.26	16.73	ND	ND	0.11	0.05	ND	92.58	1.19	0.09	0.55	0.14	0.25	0.05	0.11	0.12	ND	0.23	ND	ND	ND	ND	3.09	ND	ND	ND	ND	0.87
JWL0173		ND	ND	ND	ND	ND	0.03	ND	0.33	0.17	17.87	0.24	ND	ND	0.16	0.07	0.05	0.01	0.06	ND	ND	2.31	0.49	0.07	ND	0.17	0.02	ND	ND	0.33	ND	ND	ND	ND	0.04	ND	ND	ND	ND	1.49	23.08	0.22	ND	10.82	0.11	0.98	0.40	4.52	ND	ND	ND	14.16	0.15	ND	0.18	ND	ND	ND	ND	ND	ND	0.35	2.97	2.28	1.97	ND	9.21	0.18	ND	ND	55.88	2.11	0.05	ND	ND	2.95	ND	ND	ND	0.77	ND	0.61	ND	ND	195.05	ND	ND	ND	53.65	0.43	0.31	ND	4.14	ND	1.30	ND	15.53	ND	0.09	0.48	ND	0.04	0.03	0.83	0.73	1.79	3.84	0.03	ND	0.09	0.06	ND	ND	32.84	ND	ND	ND	ND	ND	ND	1.07	0.08	0.34	ND	0.14	0.32	0.11	0.02	0.04	0.06	0.05	ND	0.08	ND	0.49	0.02	ND	0.07	1.24	0.08	ND	ND	184.43	ND	ND	ND	0.28	0.85	0.09	ND	ND	0.02	ND	1.72	2.23	0.38	0.15	ND	ND	ND	ND	4.33	ND	ND	ND	0.19	ND	ND	ND	ND	ND	ND	14.86	ND	ND	ND	ND	ND	ND	0.61	ND	ND	ND	0.24	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.09	ND	ND	ND	ND	ND	ND	ND	0.04	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.11	ND	ND	0.89
JWL0174		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	2.01	ND	ND	0.05	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.75	ND	ND	ND	ND	ND	ND	ND	ND	0.33	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.21	1.09	0.31	ND	ND	ND	0.08	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.05	ND	0.18	ND	ND	ND	ND	0.38	ND	ND	ND	ND	ND	19.31	0.17	0.10	ND	ND	ND	ND	ND	ND	0.11	0.72	ND	ND	0.16	ND	ND	ND	ND	1.90	0.44	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.09	0.04	ND	ND	0.04	ND	ND	0.03	ND	ND	ND	0.04	ND	0.02	ND	ND	ND	ND	ND	ND	ND	0.16	ND	ND	2.62	ND	ND	ND	ND	ND	ND	ND	ND	1.38	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.82	ND	0.03	ND	ND	ND	ND	ND	1.27	35.52	0.55	ND	ND	ND	ND	ND	ND	ND	ND	0.08	ND	0.15	ND	ND	ND	ND	ND	0.09	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.33	ND	ND	ND	ND	ND	ND	ND	ND
JWL0175		ND	ND	ND	ND	ND	ND	0.02	ND	ND	0.06	ND	0.40	ND	ND	ND	ND	ND	ND	ND	0.09	ND	ND	0.12	0.66	2.02	ND	ND	0.12	ND	ND	ND	ND	ND	ND	ND	3.45	ND	ND	ND	128.08	1.47	ND	ND	ND	1.27	0.04	ND	0.20	0.11	0.05	ND	ND	ND	ND	ND	ND	0.23	ND	ND	ND	0.05	ND	6.30	4.86	ND	ND	0.18	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.94	ND	ND	0.55	ND	ND	ND	ND	ND	85.91	0.67	0.48	0.18	0.66	ND	0.07	0.30	ND	ND	ND	0.17	0.06	ND	ND	0.48	1.65	ND	ND	ND	0.25	0.10	ND	ND	0.37	ND	0.52	1.19	ND	ND	ND	0.03	ND	0.06	0.13	ND	ND	ND	ND	0.01	ND	0.15	ND	ND	ND	ND	ND	ND	ND	ND	0.07	ND	ND	3.48	0.82	ND	ND	0.49	ND	ND	ND	0.05	ND	ND	0.02	0.09	0.14	0.26	ND	0.02	ND	ND	ND	0.12	ND	ND	ND	0.09	ND	ND	ND	ND	ND	0.73	ND	ND	1.52	ND	ND	ND	ND	0.03	ND	ND	ND	ND	0.23	0.29	ND	ND	ND	ND	ND	0.02	ND	0.78	34.51	0.41	0.04	ND	ND	ND	ND	ND	ND	ND	0.11	ND	0.50	ND	ND	ND	ND	ND	ND	0.06	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.78	ND	ND	ND	ND	ND	ND	ND	ND
