JWL0176		ND	ND	0.16	ND	ND	ND	ND	ND	0.11	ND	ND	0.23	0.24	0.09	ND	ND	ND	ND	ND	ND	0.19	ND	ND	1.45	ND	ND	ND	ND	0.59	0.11	ND	ND	ND	0.03	ND	0.26	ND	0.10	0.56	76.33	0.63	0.45	ND	ND	0.09	0.18	ND	0.34	0.51	0.30	0.95	ND	ND	ND	ND	0.03	0.23	0.14	ND	ND	0.03	ND	28.06	21.94	15.31	ND	0.21	ND	0.66	12.27	0.05	ND	ND	0.22	0.03	ND	ND	ND	0.42	0.11	ND	1.12	ND	ND	10.29	0.09	0.06	149.60	1.18	0.83	0.17	0.34	ND	0.51	1.53	2.69	0.78	ND	0.11	0.03	ND	0.02	0.26	3.32	ND	1.86	0.01	ND	ND	0.02	0.09	0.31	ND	1.06	1.50	ND	ND	ND	0.10	0.02	0.06	0.12	ND	0.06	0.34	0.05	0.07	ND	ND	ND	ND	0.03	0.06	ND	0.02	ND	0.06	ND	0.05	1.12	ND	ND	3.65	ND	0.55	0.11	ND	ND	ND	ND	ND	ND	0.07	0.20	ND	0.06	ND	ND	0.05	ND	2.19	0.14	ND	0.08	0.04	0.63	0.02	0.02	ND	0.06	ND	ND	1.41	2.72	1.94	ND	0.40	0.31	0.02	ND	ND	0.29	0.18	0.57	0.79	0.17	0.41	ND	ND	ND	ND	0.02	ND	31.44	ND	0.05	0.30	0.82	0.28	ND	ND	0.05	ND	ND	ND	0.56	ND	ND	ND	ND	0.05	ND	0.13	ND	ND	ND	ND	ND	ND	ND	ND	0.91	0.44	4.82	2.90	0.24	ND	0.10	ND	0.10	0.14	ND
JWL0177		ND	ND	ND	ND	0.03	ND	ND	ND	ND	0.20	ND	0.45	ND	0.12	ND	ND	ND	ND	0.09	0.13	0.07	ND	ND	3.13	ND	ND	ND	ND	0.81	ND	0.09	0.02	ND	ND	0.08	1.30	ND	ND	0.43	147.78	1.23	0.89	ND	ND	ND	ND	ND	1.48	0.94	0.30	2.31	ND	0.09	ND	ND	0.05	0.40	0.14	ND	ND	ND	ND	44.35	34.59	24.45	ND	ND	ND	2.94	17.67	ND	ND	ND	0.19	ND	ND	0.04	ND	2.01	0.14	ND	0.25	ND	ND	18.57	0.15	0.10	250.89	2.19	1.56	0.21	0.10	0.08	1.13	6.67	5.29	0.95	0.04	0.18	0.09	0.05	0.08	0.99	6.00	ND	4.42	ND	0.49	ND	ND	ND	ND	ND	3.91	2.91	ND	ND	ND	0.15	ND	0.07	0.34	0.11	0.17	0.59	ND	ND	ND	0.33	ND	ND	0.05	ND	ND	0.04	0.10	0.12	ND	0.12	0.20	ND	5.07	ND	ND	1.34	ND	0.21	ND	0.10	ND	ND	ND	ND	0.81	0.52	ND	ND	ND	ND	ND	1.63	0.35	ND	0.51	ND	3.01	ND	0.05	ND	ND	ND	ND	2.70	7.70	5.32	0.07	1.74	0.90	0.03	ND	ND	0.39	0.59	1.78	3.21	0.39	1.35	0.06	ND	ND	ND	ND	ND	72.34	ND	ND	1.08	1.40	0.91	0.53	0.23	0.09	0.04	0.12	0.25	2.29	ND	ND	0.03	ND	0.15	10.43	0.75	ND	ND	ND	ND	ND	ND	ND	0.02	0.65	0.18	2.99	ND	ND	22.95	ND	ND	ND	0.13	ND
JWL0178		ND	ND	0.32	ND	0.09	14.17	ND	ND	ND	0.74	ND	1.71	2.78	0.37	ND	ND	ND	ND	0.14	0.35	0.47	ND	ND	27.10	ND	ND	ND	25.26	3.61	1.14	0.15	0.23	ND	ND	ND	7.28	ND	ND	1.32	291.90	2.44	1.67	ND	ND	ND	2.09	ND	3.23	6.52	1.79	10.38	0.09	0.24	ND	ND	1.09	4.97	ND	ND	ND	ND	ND	144.52	111.44	83.36	ND	ND	ND	11.83	94.14	ND	ND	0.13	1.95	ND	ND	0.12	5.25	37.13	ND	ND	1.36	0.10	ND	83.10	0.71	0.48	838.09	7.14	5.14	0.20	0.28	0.61	7.73	21.45	22.12	5.13	0.23	0.15	0.73	0.23	0.14	1.96	8.24	0.61	7.73	ND	ND	0.89	0.16	0.11	ND	ND	37.53	36.57	0.24	0.24	0.08	0.19	ND	ND	1.53	0.79	0.68	3.66	ND	ND	ND	ND	0.96	0.52	0.17	ND	ND	ND	0.21	0.75	0.08	0.41	2.48	ND	ND	29.80	ND	7.20	0.90	2.64	ND	ND	0.76	ND	ND	ND	2.16	2.90	ND	0.10	ND	0.13	0.26	11.91	4.30	ND	2.93	ND	27.14	0.36	0.29	ND	0.12	ND	ND	6.43	44.32	44.93	0.52	4.24	11.83	0.12	0.20	ND	ND	2.53	20.65	7.08	3.15	2.41	0.16	ND	ND	0.12	ND	3.64	220.07	ND	1.08	6.75	9.14	6.30	2.86	1.78	0.36	0.15	0.12	0.98	10.60	0.47	ND	ND	ND	0.76	28.78	2.69	ND	0.37	ND	ND	ND	ND	ND	ND	ND	0.77	8.25	ND	0.16	48.26	0.10	0.40	0.51	0.23	ND
JWL0179		ND	ND	ND	0.05	0.06	ND	ND	0.08	ND	0.51	ND	0.11	ND	ND	ND	ND	ND	ND	0.07	ND	ND	0.12	ND	1.54	ND	ND	ND	ND	0.57	0.05	ND	ND	ND	ND	0.07	0.63	ND	0.07	0.36	75.20	0.78	ND	ND	ND	3.78	ND	ND	0.54	0.34	0.15	0.43	ND	0.06	ND	ND	0.10	0.31	0.02	ND	0.05	ND	ND	29.71	23.09	15.67	ND	3.05	ND	0.65	10.04	1.21	ND	ND	ND	ND	ND	0.05	ND	1.51	0.10	ND	ND	ND	ND	ND	ND	ND	227.50	1.92	1.34	ND	9.65	ND	0.24	1.68	3.83	0.84	0.04	0.80	ND	ND	ND	ND	3.48	ND	1.50	ND	0.63	0.04	0.06	ND	ND	ND	2.77	3.24	ND	ND	ND	0.08	0.04	0.22	ND	0.04	0.17	0.30	ND	0.07	ND	0.16	0.03	0.04	ND	0.03	ND	ND	ND	0.08	0.53	ND	1.19	ND	ND	20.39	ND	0.75	0.33	0.13	ND	0.08	0.12	ND	ND	0.08	0.55	0.84	0.03	0.09	0.03	0.06	0.08	4.48	0.39	ND	ND	0.18	1.33	0.03	0.04	0.22	0.21	ND	ND	1.57	7.13	5.67	0.06	1.28	0.49	0.24	0.05	ND	0.53	0.33	1.29	2.98	0.40	1.87	0.06	ND	0.05	ND	0.05	0.70	94.97	8.64	ND	5.37	2.33	0.82	0.22	0.15	ND	0.08	ND	ND	2.35	ND	0.10	0.13	0.15	ND	15.32	0.91	0.09	0.19	0.15	0.13	0.06	0.16	0.16	0.28	ND	ND	ND	3.28	ND	24.21	ND	0.03	0.03	ND	ND
JWL0180		ND	ND	ND	0.05	0.09	ND	ND	0.07	0.04	1.12	ND	0.17	ND	ND	ND	ND	ND	ND	0.03	ND	0.11	ND	ND	2.30	ND	ND	ND	ND	1.32	0.10	ND	ND	ND	ND	0.12	0.84	ND	ND	0.32	138.52	1.56	ND	ND	ND	7.34	ND	ND	1.64	0.70	0.29	0.72	ND	0.05	ND	ND	0.08	0.33	ND	ND	ND	ND	ND	39.35	29.67	22.16	ND	3.16	ND	1.46	17.76	2.22	ND	ND	0.26	ND	ND	0.07	0.72	1.78	0.34	0.17	ND	0.03	ND	15.58	ND	ND	280.36	2.40	1.73	ND	13.16	ND	0.34	3.46	5.57	1.41	0.09	1.37	ND	ND	ND	ND	3.55	ND	ND	ND	0.69	0.03	0.13	ND	ND	ND	4.31	5.30	ND	ND	ND	0.10	ND	ND	ND	0.10	0.27	0.70	ND	0.10	ND	0.11	0.03	ND	ND	0.05	ND	ND	0.06	0.09	0.59	0.23	3.32	ND	ND	45.56	ND	1.07	0.16	0.30	ND	0.11	0.16	ND	ND	ND	0.63	1.14	0.05	0.14	0.05	0.16	0.19	5.07	0.38	0.07	0.56	ND	2.44	0.07	0.06	0.42	0.55	ND	0.07	0.06	17.92	ND	0.11	1.47	1.56	0.33	0.05	0.10	0.92	0.60	4.98	2.34	0.77	3.12	0.17	ND	0.04	ND	0.08	0.64	161.11	10.81	ND	10.86	5.35	2.05	1.84	ND	0.09	0.22	0.04	ND	4.43	0.18	0.19	0.09	0.14	0.18	29.31	2.31	0.07	0.45	0.15	ND	0.04	0.13	0.11	0.33	1.02	ND	2.24	ND	ND	31.20	ND	ND	ND	ND	ND
JWL0181		0.01	ND	ND	0.03	0.03	ND	ND	0.04	ND	0.25	ND	0.04	ND	0.02	ND	ND	ND	ND	0.02	ND	ND	0.06	ND	0.56	ND	ND	ND	ND	0.21	0.03	ND	ND	ND	ND	ND	0.18	ND	ND	0.11	33.16	0.36	ND	ND	ND	2.59	ND	ND	0.20	0.10	0.06	0.18	ND	ND	ND	ND	0.02	0.09	0.03	ND	0.01	ND	ND	12.95	9.68	ND	ND	2.04	ND	0.27	3.46	0.53	ND	ND	ND	ND	ND	0.02	ND	0.45	0.02	ND	0.45	ND	ND	ND	ND	ND	33.88	36.23	0.41	ND	5.46	ND	ND	0.61	1.29	0.27	ND	0.92	0.03	ND	ND	ND	2.73	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.81	1.04	ND	ND	ND	0.05	0.01	0.11	ND	ND	0.05	ND	ND	0.04	0.04	0.12	0.01	0.01	ND	0.01	0.36	ND	ND	ND	0.08	0.05	0.55	ND	ND	4.81	ND	0.16	ND	ND	ND	0.09	0.06	ND	ND	ND	0.27	0.39	0.02	ND	ND	0.01	0.06	0.83	0.09	ND	0.04	0.18	ND	0.01	ND	0.05	0.05	ND	ND	ND	1.64	1.46	ND	ND	ND	0.12	ND	ND	0.16	ND	0.48	0.49	ND	ND	ND	0.04	0.02	ND	0.02	0.11	27.23	2.63	ND	0.78	0.37	ND	0.10	ND	ND	ND	ND	0.02	ND	ND	0.03	0.05	0.07	0.03	ND	0.06	0.04	ND	0.08	0.06	0.03	0.07	0.06	0.06	ND	ND	0.68	ND	0.09	ND	0.02	0.02	0.01	ND	ND
JWL0185		0.06	ND	0.15	ND	ND	ND	ND	0.19	0.10	1.30	ND	0.24	ND	0.08	ND	ND	ND	ND	ND	0.03	0.12	0.13	ND	3.51	ND	ND	ND	8.24	1.48	0.15	ND	ND	ND	ND	0.10	1.23	ND	ND	0.42	131.68	1.09	0.76	ND	ND	7.16	0.24	ND	1.58	1.43	0.65	0.82	ND	0.06	ND	ND	0.08	0.63	ND	ND	ND	1.53	ND	35.12	26.75	18.87	ND	4.99	ND	1.24	29.84	2.35	ND	ND	0.35	0.03	ND	0.04	0.42	4.04	ND	ND	1.56	ND	ND	11.21	0.10	0.06	218.80	1.87	1.33	ND	13.16	ND	0.71	ND	7.29	1.27	0.18	1.82	0.15	ND	0.07	ND	3.37	ND	2.62	ND	1.10	0.16	0.08	0.11	ND	ND	6.07	5.54	ND	0.04	0.02	0.08	0.07	0.20	0.21	0.09	0.35	0.52	ND	0.13	ND	ND	ND	ND	0.04	0.04	1.00	ND	0.04	0.07	0.71	0.13	3.70	ND	ND	27.32	ND	1.39	0.24	0.26	ND	0.11	0.10	ND	ND	ND	0.81	1.11	0.10	0.10	0.05	0.11	0.14	4.59	0.41	0.05	0.32	0.10	2.29	0.08	ND	0.44	0.26	ND	0.04	3.31	10.29	0.04	0.05	0.50	1.41	ND	0.05	0.06	0.59	0.39	4.02	2.50	0.48	1.53	0.06	ND	ND	0.08	ND	1.06	78.12	5.92	ND	ND	ND	1.06	1.44	0.72	0.10	0.06	ND	0.12	2.90	0.11	0.04	ND	0.03	0.04	15.83	1.16	0.02	0.20	ND	0.04	ND	ND	ND	0.20	0.45	0.37	3.42	ND	ND	32.85	0.02	0.08	0.03	ND	ND
JWL0188		ND	ND	ND	ND	ND	ND	ND	ND	0.13	0.19	ND	0.09	ND	ND	ND	ND	ND	ND	ND	ND	0.10	ND	ND	1.50	ND	ND	ND	ND	1.08	ND	ND	ND	ND	ND	ND	0.24	ND	0.05	0.27	58.88	0.66	ND	ND	ND	0.06	ND	ND	0.26	0.28	0.40	1.18	ND	ND	ND	ND	0.03	0.23	0.11	ND	0.01	ND	ND	26.06	20.72	ND	ND	ND	ND	ND	18.25	0.06	ND	ND	0.34	ND	ND	ND	ND	0.76	0.19	ND	0.78	ND	ND	ND	ND	ND	176.81	1.54	1.06	0.15	0.28	ND	ND	0.77	4.71	0.91	ND	0.12	0.02	ND	ND	ND	3.15	ND	ND	ND	ND	ND	0.01	0.05	ND	ND	2.12	2.87	ND	ND	ND	0.07	ND	0.06	0.05	ND	0.18	0.37	0.06	ND	ND	ND	0.04	0.06	0.02	0.07	0.06	ND	ND	0.11	ND	ND	1.59	ND	5.18	ND	ND	0.28	0.13	ND	ND	ND	ND	ND	ND	ND	ND	0.58	0.06	ND	ND	0.10	ND	2.64	0.19	ND	0.12	ND	2.85	0.05	0.05	ND	0.12	ND	ND	2.61	4.17	3.51	ND	0.44	1.06	ND	0.02	ND	0.32	0.37	1.84	1.07	0.60	ND	ND	ND	0.02	ND	0.04	0.19	76.14	ND	ND	ND	ND	1.06	0.53	0.36	0.06	ND	0.03	0.10	1.40	0.03	ND	ND	ND	0.10	5.67	0.54	ND	ND	0.02	ND	ND	0.02	0.02	ND	2.07	0.96	5.84	12.43	ND	ND	0.05	0.06	0.08	0.50	ND
JWL0189		ND	0.20	ND	ND	ND	0.17	ND	8.17	6.07	143.62	108.13	0.30	ND	0.78	ND	1.44	0.21	1.33	ND	ND	19.65	36.99	ND	0.25	ND	0.10	0.50	ND	0.90	ND	ND	ND	0.56	ND	ND	ND	6.49	1.10	21.72	ND	ND	ND	25.00	0.27	ND	ND	1.87	ND	ND	2.55	30.73	0.32	ND	ND	0.08	ND	0.20	ND	0.11	0.30	ND	ND	2.48	2.04	ND	3.12	1.31	0.81	ND	87.64	9.25	0.22	ND	1.17	ND	0.04	ND	ND	3.71	0.15	0.39	ND	0.08	ND	ND	ND	ND	69.94	0.56	0.41	ND	18.12	ND	ND	ND	3.19	4.20	0.07	0.23	0.06	0.04	0.04	ND	0.62	0.63	4.82	ND	ND	0.03	0.02	ND	ND	ND	ND	1.08	ND	ND	ND	ND	ND	0.21	ND	ND	0.64	0.96	0.14	ND	ND	ND	ND	ND	0.11	ND	6.97	ND	ND	ND	ND	ND	ND	ND	0.25	ND	0.10	ND	ND	0.36	ND	0.08	ND	ND	ND	ND	ND	0.38	0.17	ND	ND	ND	ND	ND	ND	ND	ND	0.16	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.04	0.06	ND	ND	ND	0.03	ND	0.09	0.09	0.04	0.09	0.11	ND	ND	ND	ND	0.71	0.25	ND	0.06	0.13	ND	0.27	ND
JWL0190		ND	0.08	ND	ND	ND	10.18	0.16	ND	ND	0.87	ND	5.21	1.69	ND	0.06	ND	ND	ND	ND	0.37	0.06	0.27	0.87	19.45	18.30	ND	ND	2.49	0.49	ND	ND	ND	ND	0.15	0.12	11.18	0.74	ND	ND	491.00	5.61	ND	ND	ND	7.37	ND	ND	1.56	4.29	0.96	0.38	ND	ND	0.14	ND	ND	0.97	ND	ND	0.11	0.10	ND	41.35	31.78	23.36	ND	0.33	0.18	0.27	4.55	ND	ND	ND	ND	ND	0.07	ND	ND	1.47	0.13	0.10	0.92	ND	ND	ND	ND	ND	160.67	1.38	1.00	0.14	1.12	ND	ND	1.25	0.64	0.23	ND	0.16	0.19	ND	ND	2.16	3.78	ND	0.75	ND	0.66	0.08	ND	ND	0.58	ND	1.32	3.72	2.11	ND	ND	0.09	ND	0.06	ND	ND	2.15	ND	ND	0.08	ND	ND	ND	ND	ND	ND	0.18	ND	ND	ND	0.21	ND	ND	9.47	0.86	ND	0.08	ND	ND	ND	ND	0.07	ND	ND	0.10	ND	0.23	0.70	ND	ND	ND	ND	ND	0.62	ND	ND	ND	0.09	ND	ND	ND	ND	ND	0.07	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0191		ND	0.17	ND	1.11	ND	0.08	35.94	27.01	1.38	81.64	62.67	40.01	ND	8.04	ND	0.25	1.25	0.83	0.22	ND	ND	3.81	ND	2.23	1.11	1.83	0.33	ND	161.85	0.15	0.09	0.26	1.27	ND	ND	21.53	ND	ND	4.47	273.02	2.35	1.73	ND	ND	ND	ND	ND	ND	12.41	6.77	32.08	0.34	ND	0.27	0.21	ND	0.86	ND	0.49	0.27	ND	ND	11.26	8.59	8.27	11.23	0.15	ND	ND	252.29	0.15	ND	0.71	0.82	0.44	0.87	ND	1.60	30.50	ND	2.12	5.41	0.69	ND	ND	ND	ND	740.74	6.47	4.50	0.16	ND	0.59	ND	5.13	81.52	6.14	0.10	0.20	0.17	ND	ND	0.40	1.69	1.40	3.99	ND	ND	1.77	0.19	ND	ND	ND	22.59	29.07	0.12	ND	0.19	ND	ND	0.12	0.60	ND	0.95	1.93	0.16	0.11	ND	ND	0.41	0.15	0.15	ND	ND	ND	1.05	ND	20.77	ND	ND	ND	38.05	ND	0.11	5.96	0.28	1.57	ND	ND	ND	0.29	ND	ND	2.63	2.46	0.14	ND	0.60	ND	ND	0.94	ND	0.18	ND	ND	ND	ND	ND	0.24	ND	0.94	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.62	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.25	ND	ND	ND	ND	ND	ND	ND	ND	0.07	ND	0.81	ND	0.75	0.24	7.15	ND	0.14	ND	0.25	2.51
																																																																																																																																																																																																																																									
Total Analytes	232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	107	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
