eid	fname	id	rab	struc	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar	sp	loc
193	uw_format_example.xlsx	CE 15:0	2.12	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.21457489878542513	unk1	hardplace
216	uw_format_example.xlsx	CE 14:0	27.08	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8316953316953316	unk2	rock
216	uw_format_example.xlsx	CE 15:0	5.48	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1683046683046683	unk2	rock
218	uw_format_example.xlsx	CE 14:0	20.61	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7043745727956253	unk2	hardplace
218	uw_format_example.xlsx	CE 14:1	3.6	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.12303485987696514	unk2	hardplace
218	uw_format_example.xlsx	CE 15:0	5.05	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1725905673274094	unk2	hardplace
226	uw_format_example.xlsx	CE 14:0	18.24	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7879049676025918	unk2	intermed
226	uw_format_example.xlsx	CE 14:1	1.47	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.06349892008639309	unk2	intermed
226	uw_format_example.xlsx	CE 15:0	3.44	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.14859611231101513	unk2	intermed
235	uw_format_example.xlsx	CE 14:0	27.53	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7895038715227989	unk1	rock
235	uw_format_example.xlsx	CE 14:1	2.21	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.06337826211643245	unk1	rock
235	uw_format_example.xlsx	CE 15:0	5.13	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.14711786636076854	unk1	rock
245	uw_format_example.xlsx	CE 14:0	14.04	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7663755458515283	unk2	rock
245	uw_format_example.xlsx	CE 14:1	0.89	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.04858078602620087	unk2	rock
245	uw_format_example.xlsx	CE 15:0	3.39	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.18504366812227072	unk2	rock
306	uw_format_example.xlsx	CE 14:0	23.2	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7491120439134646	unk1	rock
306	uw_format_example.xlsx	CE 14:1	3.06	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.09880529544720698	unk1	rock
306	uw_format_example.xlsx	CE 15:0	4.71	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.15208266063932838	unk1	rock
329	uw_format_example.xlsx	CE 14:0	12.69	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8119001919385797	unk1	rock
329	uw_format_example.xlsx	CE 15:0	2.94	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.18809980806142035	unk1	rock
334	uw_format_example.xlsx	CE 14:0	14.39	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8107042253521127	unk2	hardplace
334	uw_format_example.xlsx	CE 15:0	3.36	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.18929577464788733	unk2	hardplace
337	uw_format_example.xlsx	CE 14:0	26.58	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7986778846153846	unk2	hardplace
337	uw_format_example.xlsx	CE 14:1	1.69	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.05078125	unk2	hardplace
337	uw_format_example.xlsx	CE 15:0	5.01	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.15054086538461536	unk2	hardplace
339	uw_format_example.xlsx	CE 14:0	10.41	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7441029306647605	unk2	intermed
339	uw_format_example.xlsx	CE 14:1	0.89	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.0636168691922802	unk2	intermed
339	uw_format_example.xlsx	CE 15:0	2.69	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.19228020014295924	unk2	intermed
358	uw_format_example.xlsx	CE 14:0	18.77	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8048885077186964	unk2	intermed
358	uw_format_example.xlsx	CE 14:1	1.11	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.04759862778730703	unk2	intermed
358	uw_format_example.xlsx	CE 15:0	3.44	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.14751286449399656	unk2	intermed
363	uw_format_example.xlsx	CE 14:0	21.04	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.6767449340623994	unk1	intermed
363	uw_format_example.xlsx	CE 14:1	4.71	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.151495657767771	unk1	intermed
363	uw_format_example.xlsx	CE 15:0	5.34	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.17175940816982951	unk1	intermed
373	uw_format_example.xlsx	CE 14:0	28.19	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8864779874213836	unk2	rock
373	uw_format_example.xlsx	CE 15:0	3.61	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.11352201257861634	unk2	rock
399	uw_format_example.xlsx	CE 14:0	23.38	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8564102564102564	unk1	hardplace
399	uw_format_example.xlsx	CE 14:1	1.83	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.06703296703296703	unk1	hardplace
399	uw_format_example.xlsx	CE 15:0	2.09	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.07655677655677655	unk1	hardplace
482	uw_format_example.xlsx	CE 14:0	16.27	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8576700052714813	unk1	intermed
482	uw_format_example.xlsx	CE 15:0	2.7	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.14232999472851873	unk1	intermed
488	uw_format_example.xlsx	CE 14:0	27.94	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8552188552188552	unk1	rock
488	uw_format_example.xlsx	CE 14:1	1.35	NA	CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.04132231404958678	unk1	rock
488	uw_format_example.xlsx	CE 15:0	3.38	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.103458830731558	unk1	rock
500	uw_format_example.xlsx	CE 14:0	21.36	NA	CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8482922954725973	unk1	rock
500	uw_format_example.xlsx	CE 15:0	3.82	NA	CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1517077045274027	unk1	rock
