eid	fname	id	rab	struc	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar
20	uw_format_example.xlsx	CE 14:0	8.38		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7716390423572744
20	uw_format_example.xlsx	CE 14:1	0.59		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.05432780847145487
20	uw_format_example.xlsx	CE 15:0	1.89		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1740331491712707
373	uw_format_example.xlsx	CE 14:0	28.19		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8864779874213836
373	uw_format_example.xlsx	CE 15:0	3.61		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.11352201257861634
216	uw_format_example.xlsx	CE 14:0	27.08		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8316953316953316
216	uw_format_example.xlsx	CE 15:0	5.48		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1683046683046683
8	uw_format_example.xlsx	CE 14:0	12.18		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8523442967109868
8	uw_format_example.xlsx	CE 15:0	2.11		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.14765570328901328
44	uw_format_example.xlsx	CE 14:0	8.75		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8131970260223048
44	uw_format_example.xlsx	CE 14:1	0.65		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.0604089219330855
44	uw_format_example.xlsx	CE 15:0	1.36		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.12639405204460968
245	uw_format_example.xlsx	CE 14:0	14.04		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7663755458515283
245	uw_format_example.xlsx	CE 14:1	0.89		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.048580786026200876
245	uw_format_example.xlsx	CE 15:0	3.39		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.18504366812227074
29	uw_format_example.xlsx	CE 14:0	40.53		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8784135240572172
29	uw_format_example.xlsx	CE 15:0	5.61		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.12158647594278284
334	uw_format_example.xlsx	CE 14:0	14.39		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.8107042253521127
334	uw_format_example.xlsx	CE 15:0	3.36		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.18929577464788733
218	uw_format_example.xlsx	CE 14:0	20.61		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7043745727956253
218	uw_format_example.xlsx	CE 14:1	3.6		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.12303485987696514
218	uw_format_example.xlsx	CE 15:0	5.05		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.1725905673274094
43	uw_format_example.xlsx	CE 14:0	14.16		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7897378694924707
43	uw_format_example.xlsx	CE 14:1	1.08		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.060234244283324044
43	uw_format_example.xlsx	CE 15:0	2.69		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.15002788622420524
337	uw_format_example.xlsx	CE 14:0	26.58		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7986778846153846
337	uw_format_example.xlsx	CE 14:1	1.69		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.05078125
337	uw_format_example.xlsx	CE 15:0	5.01		CE	1	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	15:0	0.15054086538461536
339	uw_format_example.xlsx	CE 14:0	10.41		CE	1	NA	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:0	0.7441029306647605
339	uw_format_example.xlsx	CE 14:1	0.89		CE	1	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	14:1	0.0636168691922802
